Accumulable ID;Task ID;Name;Update;Value;Internal;Count Failed Values
1712;114;internal.metrics.executorDeserializeTime;5;14;True;True
1712;115;internal.metrics.executorDeserializeTime;9;9;True;True
1713;114;internal.metrics.executorDeserializeCpuTime;2179128;4091207;True;True
1713;115;internal.metrics.executorDeserializeCpuTime;1912079;1912079;True;True
1714;114;internal.metrics.executorRunTime;78006;154937;True;True
1714;115;internal.metrics.executorRunTime;76931;76931;True;True
1715;114;internal.metrics.executorCpuTime;150045199;300738708;True;True
1715;115;internal.metrics.executorCpuTime;150693509;150693509;True;True
1716;114;internal.metrics.resultSize;2179;4358;True;True
1716;115;internal.metrics.resultSize;2179;2179;True;True
1717;114;internal.metrics.jvmGCTime;61;122;True;True
1717;115;internal.metrics.jvmGCTime;61;61;True;True
1719;114;internal.metrics.memoryBytesSpilled;457179136;913309696;True;True
1719;115;internal.metrics.memoryBytesSpilled;456130560;456130560;True;True
1720;114;internal.metrics.diskBytesSpilled;55775237;111517089;True;True
1720;115;internal.metrics.diskBytesSpilled;55741852;55741852;True;True
1725;114;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
1725;115;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
1726;114;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
1726;115;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
1727;114;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
1727;115;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
1728;114;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
1728;115;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
1729;114;internal.metrics.shuffle.read.localBytesRead;12508861;25010403;True;True
1729;115;internal.metrics.shuffle.read.localBytesRead;12501542;12501542;True;True
1730;114;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
1730;115;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
1731;114;internal.metrics.shuffle.read.recordsRead;60;120;True;True
1731;115;internal.metrics.shuffle.read.recordsRead;60;60;True;True
1732;114;internal.metrics.shuffle.write.bytesWritten;12679890;25378261;True;True
1732;115;internal.metrics.shuffle.write.bytesWritten;12698371;12698371;True;True
1733;114;internal.metrics.shuffle.write.recordsWritten;212;414;True;True
1733;115;internal.metrics.shuffle.write.recordsWritten;202;202;True;True
1734;114;internal.metrics.shuffle.write.writeTime;52763813;110167631;True;True
1734;115;internal.metrics.shuffle.write.writeTime;57403818;57403818;True;True
1742;116;internal.metrics.executorDeserializeTime;8;8;True;True
1742;117;internal.metrics.executorDeserializeTime;2;10;True;True
1743;116;internal.metrics.executorDeserializeCpuTime;1999015;1999015;True;True
1743;117;internal.metrics.executorDeserializeCpuTime;2004370;4003385;True;True
1744;116;internal.metrics.executorRunTime;120618;120618;True;True
1744;117;internal.metrics.executorRunTime;121258;241876;True;True
1745;116;internal.metrics.executorCpuTime;291812208;291812208;True;True
1745;117;internal.metrics.executorCpuTime;288708910;580521118;True;True
1746;116;internal.metrics.resultSize;2223;2223;True;True
1746;117;internal.metrics.resultSize;2223;4446;True;True
1747;116;internal.metrics.jvmGCTime;96;96;True;True
1747;117;internal.metrics.jvmGCTime;96;192;True;True
1749;116;internal.metrics.memoryBytesSpilled;684720128;684720128;True;True
1749;117;internal.metrics.memoryBytesSpilled;684720128;1369440256;True;True
1750;116;internal.metrics.diskBytesSpilled;63502850;63502850;True;True
1750;117;internal.metrics.diskBytesSpilled;63563054;127065904;True;True
1755;116;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
1755;117;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
1756;116;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
1756;117;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
1757;116;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
1757;117;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
1758;116;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
1758;117;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
