RDD ID;Name;Callsite;Parent IDs;Storage Level;Barrier;Number of Partitions;Number of Cached Partitions;Memory Size;Disk Size;Scope;Stage ID
138;ShuffledRDD;partitionBy at <unknown>:0;[137];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""247"",""name"":""partitionBy""}";221
139;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[138];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""248"",""name"":""mapPartitions""}";221
141;PythonRDD;groupByKey at <command-1341553813220843>:29;[139];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;221
142;PairwiseRDD;groupByKey at <command-1341553813220843>:29;[141];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;221
143;ShuffledRDD;partitionBy at <unknown>:0;[142];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""261"",""name"":""partitionBy""}";222
144;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[143];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""262"",""name"":""mapPartitions""}";222
145;PythonRDD;groupByKey at <command-1341553813220843>:34;[144];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;222
146;PairwiseRDD;groupByKey at <command-1341553813220843>:34;[145];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;222
147;ShuffledRDD;partitionBy at <unknown>:0;[146];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""263"",""name"":""partitionBy""}";223
147;ShuffledRDD;partitionBy at <unknown>:0;[146];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""263"",""name"":""partitionBy""}";228
148;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[147];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""264"",""name"":""mapPartitions""}";228
148;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[147];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""264"",""name"":""mapPartitions""}";223
149;PythonRDD;collect at <command-1341553813220843>:37;[148];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;223
150;PythonRDD;groupByKey at <command-1341553813220843>:29;[148];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;228
151;PairwiseRDD;groupByKey at <command-1341553813220843>:29;[150];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;228
152;ShuffledRDD;partitionBy at <unknown>:0;[151];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""276"",""name"":""partitionBy""}";229
