Accumulable ID;Task ID;Name;Update;Value;Internal;Count Failed Values
1;26;Accumulator;141087;141087;False;False
1;27;Accumulator;174477;315564;False;False
1;32;Accumulator;0;0;False;False
1;33;Accumulator;0;0;False;False
362;24;internal.metrics.executorDeserializeTime;38;72;True;True
362;25;internal.metrics.executorDeserializeTime;34;34;True;True
363;24;internal.metrics.executorDeserializeCpuTime;18232516;35955139;True;True
363;25;internal.metrics.executorDeserializeCpuTime;17722623;17722623;True;True
364;24;internal.metrics.executorRunTime;61093;120266;True;True
364;25;internal.metrics.executorRunTime;59173;59173;True;True
365;24;internal.metrics.executorCpuTime;54708249948;107441890088;True;True
365;25;internal.metrics.executorCpuTime;52733640140;52733640140;True;True
366;24;internal.metrics.resultSize;1263;2526;True;True
366;25;internal.metrics.resultSize;1263;1263;True;True
367;24;internal.metrics.jvmGCTime;773;1546;True;True
367;25;internal.metrics.jvmGCTime;773;773;True;True
369;24;internal.metrics.memoryBytesSpilled;0;0;True;True
369;25;internal.metrics.memoryBytesSpilled;0;0;True;True
370;24;internal.metrics.diskBytesSpilled;0;0;True;True
370;25;internal.metrics.diskBytesSpilled;0;0;True;True
371;24;internal.metrics.peakExecutionMemory;37781866;107105120;True;True
371;25;internal.metrics.peakExecutionMemory;69323254;69323254;True;True
375;24;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
375;25;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
376;24;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
376;25;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
377;24;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
377;25;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
378;24;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
378;25;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
379;24;internal.metrics.shuffle.read.localBytesRead;31579453;62030864;True;True
379;25;internal.metrics.shuffle.read.localBytesRead;30451411;30451411;True;True
380;24;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
380;25;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
381;24;internal.metrics.shuffle.read.recordsRead;6193686;12042812;True;True
381;25;internal.metrics.shuffle.read.recordsRead;5849126;5849126;True;True
382;24;internal.metrics.shuffle.write.bytesWritten;2164313;4338472;True;True
382;25;internal.metrics.shuffle.write.bytesWritten;2174159;2174159;True;True
383;24;internal.metrics.shuffle.write.recordsWritten;473034;947924;True;True
383;25;internal.metrics.shuffle.write.recordsWritten;474890;474890;True;True
384;24;internal.metrics.shuffle.write.writeTime;6845527;16810420;True;True
384;25;internal.metrics.shuffle.write.writeTime;9964893;9964893;True;True
392;26;internal.metrics.executorDeserializeTime;39;39;True;True
392;27;internal.metrics.executorDeserializeTime;53;92;True;True
393;26;internal.metrics.executorDeserializeCpuTime;19827346;19827346;True;True
393;27;internal.metrics.executorDeserializeCpuTime;20722895;40550241;True;True
394;26;internal.metrics.executorRunTime;2762;2762;True;True
394;27;internal.metrics.executorRunTime;4522;7284;True;True
395;26;internal.metrics.executorCpuTime;2545535663;2545535663;True;True
395;27;internal.metrics.executorCpuTime;4214238302;6759773965;True;True
396;26;internal.metrics.resultSize;1225;1225;True;True
396;27;internal.metrics.resultSize;1225;2450;True;True
399;26;internal.metrics.memoryBytesSpilled;0;0;True;True
399;27;internal.metrics.memoryBytesSpilled;0;0;True;True
400;26;internal.metrics.diskBytesSpilled;0;0;True;True
400;27;internal.metrics.diskBytesSpilled;0;0;True;True
401;26;internal.metrics.peakExecutionMemory;9250088;9250088;True;True
401;27;internal.metrics.peakExecutionMemory;10124168;19374256;True;True
405;26;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
405;27;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
406;26;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
406;27;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
407;26;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
