RDD ID;Name;Scope;Callsite;Parent IDs;Storage Level;Barrier;Number of Partitions;Number of Cached Partitions;Memory Size;Disk Size;Stage ID
35;ShuffledRDD;"{""id"":""84"",""name"":""groupByKey""}";groupByKey at command-162790527861575:37;[34];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;32
36;MapPartitionsRDD;"{""id"":""87"",""name"":""map""}";map at command-162790527861575:38;[35];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;32
37;MapPartitionsRDD;"{""id"":""98"",""name"":""flatMap""}";flatMap at command-162790527861575:30;[36];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;32
38;MapPartitionsRDD;"{""id"":""99"",""name"":""map""}";map at command-162790527861575:31;[37];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;32
39;ShuffledRDD;"{""id"":""100"",""name"":""groupByKey""}";groupByKey at command-162790527861575:32;[38];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;33
40;MapPartitionsRDD;"{""id"":""103"",""name"":""mapValues""}";mapValues at command-162790527861575:32;[39];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;33
41;MapPartitionsRDD;"{""id"":""104"",""name"":""flatMap""}";flatMap at command-162790527861575:33;[40];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;33
42;MapPartitionsRDD;"{""id"":""105"",""name"":""map""}";map at command-162790527861575:36;[41];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;33
43;ShuffledRDD;"{""id"":""106"",""name"":""groupByKey""}";groupByKey at command-162790527861575:37;[42];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;34
43;ShuffledRDD;"{""id"":""106"",""name"":""groupByKey""}";groupByKey at command-162790527861575:37;[42];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;45
44;MapPartitionsRDD;"{""id"":""109"",""name"":""map""}";map at command-162790527861575:38;[43];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;45
44;MapPartitionsRDD;"{""id"":""109"",""name"":""map""}";map at command-162790527861575:38;[43];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;34
45;MapPartitionsRDD;"{""id"":""120"",""name"":""flatMap""}";flatMap at command-162790527861575:30;[44];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;45
46;MapPartitionsRDD;"{""id"":""121"",""name"":""map""}";map at command-162790527861575:31;[45];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;45
47;ShuffledRDD;"{""id"":""122"",""name"":""groupByKey""}";groupByKey at command-162790527861575:32;[46];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;46
48;MapPartitionsRDD;"{""id"":""125"",""name"":""mapValues""}";mapValues at command-162790527861575:32;[47];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;46
49;MapPartitionsRDD;"{""id"":""126"",""name"":""flatMap""}";flatMap at command-162790527861575:33;[48];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;46
50;MapPartitionsRDD;"{""id"":""127"",""name"":""map""}";map at command-162790527861575:36;[49];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;46
51;ShuffledRDD;"{""id"":""128"",""name"":""groupByKey""}";groupByKey at command-162790527861575:37;[50];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;47
52;MapPartitionsRDD;"{""id"":""131"",""name"":""map""}";map at command-162790527861575:38;[51];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;47
