RDD ID;Name;Callsite;Parent IDs;Storage Level;Barrier;Number of Partitions;Number of Cached Partitions;Memory Size;Disk Size;Scope;Stage ID
138;ShuffledRDD;partitionBy at <unknown>:0;[137];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""224"",""name"":""partitionBy""}";117
139;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[138];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""225"",""name"":""mapPartitions""}";117
141;PythonRDD;groupByKey at <command-1341553813220844>:70;[139];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;117
142;PairwiseRDD;groupByKey at <command-1341553813220844>:70;[141];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;117
143;ShuffledRDD;partitionBy at <unknown>:0;[142];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""237"",""name"":""partitionBy""}";118
144;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[143];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""238"",""name"":""mapPartitions""}";118
145;PythonRDD;groupByKey at <command-1341553813220844>:75;[144];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;118
146;PairwiseRDD;groupByKey at <command-1341553813220844>:75;[145];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;118
147;ShuffledRDD;partitionBy at <unknown>:0;[146];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""239"",""name"":""partitionBy""}";119
147;ShuffledRDD;partitionBy at <unknown>:0;[146];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""239"",""name"":""partitionBy""}";128
148;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[147];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""240"",""name"":""mapPartitions""}";128
148;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[147];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""240"",""name"":""mapPartitions""}";119
149;PythonRDD;collect at <command-1341553813220844>:78;[148];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;119
150;PythonRDD;groupByKey at <command-1341553813220844>:70;[148];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;128
151;PairwiseRDD;groupByKey at <command-1341553813220844>:70;[150];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;128
152;ShuffledRDD;partitionBy at <unknown>:0;[151];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""252"",""name"":""partitionBy""}";129
153;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[152];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""253"",""name"":""mapPartitions""}";129
154;PythonRDD;groupByKey at <command-1341553813220844>:75;[153];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;129
155;PairwiseRDD;groupByKey at <command-1341553813220844>:75;[154];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;129
156;ShuffledRDD;partitionBy at <unknown>:0;[155];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""254"",""name"":""partitionBy""}";141
156;ShuffledRDD;partitionBy at <unknown>:0;[155];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""254"",""name"":""partitionBy""}";130
157;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[156];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""255"",""name"":""mapPartitions""}";141
157;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[156];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""255"",""name"":""mapPartitions""}";130
158;PythonRDD;collect at <command-1341553813220844>:78;[157];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;130
159;PythonRDD;groupByKey at <command-1341553813220844>:70;[157];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;141
160;PairwiseRDD;groupByKey at <command-1341553813220844>:70;[159];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;141
161;ShuffledRDD;partitionBy at <unknown>:0;[160];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""267"",""name"":""partitionBy""}";142
162;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[161];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""268"",""name"":""mapPartitions""}";142
163;PythonRDD;groupByKey at <command-1341553813220844>:75;[162];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;142
164;PairwiseRDD;groupByKey at <command-1341553813220844>:75;[163];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;142
165;ShuffledRDD;partitionBy at <unknown>:0;[164];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""269"",""name"":""partitionBy""}";143
166;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[165];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""270"",""name"":""mapPartitions""}";143
167;PythonRDD;collect at <command-1341553813220844>:78;[166];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;143
