Accumulable ID;Task ID;Name;Update;Value;Internal;Count Failed Values
2;0;internal.metrics.executorDeserializeTime;780;780;True;True
2;1;internal.metrics.executorDeserializeTime;766;1546;True;True
3;0;internal.metrics.executorDeserializeCpuTime;333046681;333046681;True;True
3;1;internal.metrics.executorDeserializeCpuTime;278722989;611769670;True;True
4;0;internal.metrics.executorRunTime;5916;5916;True;True
4;1;internal.metrics.executorRunTime;5934;11850;True;True
5;0;internal.metrics.executorCpuTime;275429087;275429087;True;True
5;1;internal.metrics.executorCpuTime;660009767;935438854;True;True
6;0;internal.metrics.resultSize;1950;1950;True;True
6;1;internal.metrics.resultSize;1912;3862;True;True
8;0;internal.metrics.resultSerializationTime;2;2;True;True
9;0;internal.metrics.memoryBytesSpilled;0;0;True;True
9;1;internal.metrics.memoryBytesSpilled;0;0;True;True
10;0;internal.metrics.diskBytesSpilled;0;0;True;True
10;1;internal.metrics.diskBytesSpilled;0;0;True;True
22;0;internal.metrics.shuffle.write.bytesWritten;1562227;1562227;True;True
22;1;internal.metrics.shuffle.write.bytesWritten;1562108;3124335;True;True
23;0;internal.metrics.shuffle.write.recordsWritten;38;38;True;True
23;1;internal.metrics.shuffle.write.recordsWritten;38;76;True;True
24;0;internal.metrics.shuffle.write.writeTime;13922653;13922653;True;True
24;1;internal.metrics.shuffle.write.writeTime;44144126;58066779;True;True
26;0;internal.metrics.input.recordsRead;179373;179373;True;True
26;1;internal.metrics.input.recordsRead;179384;358757;True;True
32;2;internal.metrics.executorDeserializeTime;59;59;True;True
32;3;internal.metrics.executorDeserializeTime;46;105;True;True
33;2;internal.metrics.executorDeserializeCpuTime;18863268;18863268;True;True
33;3;internal.metrics.executorDeserializeCpuTime;18595946;37459214;True;True
34;2;internal.metrics.executorRunTime;8226;8226;True;True
34;3;internal.metrics.executorRunTime;8775;17001;True;True
35;2;internal.metrics.executorCpuTime;84261116;84261116;True;True
35;3;internal.metrics.executorCpuTime;82817911;167079027;True;True
36;2;internal.metrics.resultSize;2184;2184;True;True
36;3;internal.metrics.resultSize;2184;4368;True;True
39;2;internal.metrics.memoryBytesSpilled;0;0;True;True
39;3;internal.metrics.memoryBytesSpilled;0;0;True;True
40;2;internal.metrics.diskBytesSpilled;0;0;True;True
40;3;internal.metrics.diskBytesSpilled;0;0;True;True
45;2;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
45;3;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
46;2;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
46;3;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
47;2;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
47;3;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
48;2;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
48;3;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
49;2;internal.metrics.shuffle.read.localBytesRead;1561689;1561689;True;True
49;3;internal.metrics.shuffle.read.localBytesRead;1562646;3124335;True;True
50;2;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
50;3;internal.metrics.shuffle.read.fetchWaitTime;2;2;True;True
51;2;internal.metrics.shuffle.read.recordsRead;38;38;True;True
51;3;internal.metrics.shuffle.read.recordsRead;38;76;True;True
52;2;internal.metrics.shuffle.write.bytesWritten;1881783;1881783;True;True
52;3;internal.metrics.shuffle.write.bytesWritten;1885625;3767408;True;True
53;2;internal.metrics.shuffle.write.recordsWritten;46;46;True;True
53;3;internal.metrics.shuffle.write.recordsWritten;46;92;True;True
54;2;internal.metrics.shuffle.write.writeTime;9046242;9046242;True;True
54;3;internal.metrics.shuffle.write.writeTime;41874085;50920327;True;True
62;4;internal.metrics.executorDeserializeTime;23;23;True;True
62;5;internal.metrics.executorDeserializeTime;9;32;True;True
63;4;internal.metrics.executorDeserializeCpuTime;4927618;4927618;True;True
63;5;internal.metrics.executorDeserializeCpuTime;5364526;10292144;True;True
64;4;internal.metrics.executorRunTime;3351;3351;True;True
64;5;internal.metrics.executorRunTime;3636;6987;True;True
65;4;internal.metrics.executorCpuTime;15418234;15418234;True;True
65;5;internal.metrics.executorCpuTime;14671647;30089881;True;True
66;4;internal.metrics.resultSize;2675744;2675744;True;True
66;5;internal.metrics.resultSize;2671108;5346852;True;True
68;4;internal.metrics.resultSerializationTime;17;17;True;True
68;5;internal.metrics.resultSerializationTime;6;23;True;True
69;4;internal.metrics.memoryBytesSpilled;0;0;True;True
69;5;internal.metrics.memoryBytesSpilled;0;0;True;True
70;4;internal.metrics.diskBytesSpilled;0;0;True;True
70;5;internal.metrics.diskBytesSpilled;0;0;True;True
75;4;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
75;5;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
76;4;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
76;5;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
77;4;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
77;5;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
78;4;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
78;5;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
79;4;internal.metrics.shuffle.read.localBytesRead;1885180;1885180;True;True
79;5;internal.metrics.shuffle.read.localBytesRead;1882228;3767408;True;True
80;4;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
80;5;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
81;4;internal.metrics.shuffle.read.recordsRead;46;46;True;True
81;5;internal.metrics.shuffle.read.recordsRead;46;92;True;True
92;6;internal.metrics.executorDeserializeTime;6;10;True;True
92;7;internal.metrics.executorDeserializeTime;4;4;True;True
93;6;internal.metrics.executorDeserializeCpuTime;4874353;9323875;True;True
93;7;internal.metrics.executorDeserializeCpuTime;4449522;4449522;True;True
94;6;internal.metrics.executorRunTime;5888;11498;True;True
