Task ID;Attempt;Launch Time;Executor ID;Host;Locality;Speculative;Getting Result Time;Finish Time;Failed;Killed;Stage ID;Duration
0;0;2021-02-27 09:43:33.376;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:43:40.233;False;False;0;6.857
1;0;2021-02-27 09:43:33.437;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:43:40.244;False;False;0;6.807
2;0;2021-02-27 09:43:40.340;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:43:48.663;False;False;1;8.323
3;0;2021-02-27 09:43:40.341;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:43:49.191;False;False;1;8.85
4;0;2021-02-27 09:43:49.256;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;1614419032698;2021-02-27 09:43:52.948;False;False;2;3.692
5;0;2021-02-27 09:43:49.258;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;1614419032954;2021-02-27 09:43:52.984;False;False;2;3.726
7;0;2021-02-27 09:43:53.442;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:43:59.072;False;False;5;5.63
6;0;2021-02-27 09:43:53.441;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:43:59.343;False;False;5;5.902
9;0;2021-02-27 09:43:59.378;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:44:14.591;False;False;6;15.213
8;0;2021-02-27 09:43:59.377;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:44:14.752;False;False;6;15.375
11;0;2021-02-27 09:44:14.812;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;1614419061463;2021-02-27 09:44:21.518;False;False;7;6.706
10;0;2021-02-27 09:44:14.811;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;1614419061608;2021-02-27 09:44:21.648;False;False;7;6.837
13;0;2021-02-27 09:44:22.175;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:44:31.708;False;False;12;9.533
12;0;2021-02-27 09:44:22.174;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:44:31.803;False;False;12;9.629
15;0;2021-02-27 09:44:31.820;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:44:47.516;False;False;13;15.696
14;0;2021-02-27 09:44:31.819;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:44:47.918;False;False;13;16.099
16;0;2021-02-27 09:44:47.955;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;1614419093722;2021-02-27 09:44:53.747;False;False;14;5.792
17;0;2021-02-27 09:44:47.955;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;1614419093802;2021-02-27 09:44:53.833;False;False;14;5.878
19;0;2021-02-27 09:44:54.439;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:45:02.469;False;False;21;8.03
18;0;2021-02-27 09:44:54.438;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:45:02.895;False;False;21;8.457
21;0;2021-02-27 09:45:02.961;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:45:08.686;False;False;22;5.725
20;0;2021-02-27 09:45:02.960;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:45:08.719;False;False;22;5.759
22;0;2021-02-27 09:45:08.750;driver;ip-10-172-246-52.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-27 09:45:09.481;False;False;23;0.731
