Accumulable ID;Task ID;Name;Update;Value;Internal;Count Failed Values
274;18;internal.metrics.executorDeserializeTime;9;18;True;True
274;19;internal.metrics.executorDeserializeTime;9;9;True;True
275;18;internal.metrics.executorDeserializeCpuTime;3512799;7139054;True;True
275;19;internal.metrics.executorDeserializeCpuTime;3626255;3626255;True;True
276;18;internal.metrics.executorRunTime;170809;339349;True;True
276;19;internal.metrics.executorRunTime;168540;168540;True;True
277;18;internal.metrics.executorCpuTime;279786837;575122633;True;True
277;19;internal.metrics.executorCpuTime;295335796;295335796;True;True
278;18;internal.metrics.resultSize;2179;4358;True;True
278;19;internal.metrics.resultSize;2179;2179;True;True
279;18;internal.metrics.jvmGCTime;114;228;True;True
279;19;internal.metrics.jvmGCTime;114;114;True;True
281;18;internal.metrics.memoryBytesSpilled;821035008;1653604352;True;True
281;19;internal.metrics.memoryBytesSpilled;832569344;832569344;True;True
282;18;internal.metrics.diskBytesSpilled;77965041;155911536;True;True
282;19;internal.metrics.diskBytesSpilled;77946495;77946495;True;True
287;18;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
287;19;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
288;18;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
288;19;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
289;18;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
289;19;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
290;18;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
290;19;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
291;18;internal.metrics.shuffle.read.localBytesRead;33197650;66409914;True;True
291;19;internal.metrics.shuffle.read.localBytesRead;33212264;33212264;True;True
292;18;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
292;19;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
293;18;internal.metrics.shuffle.read.recordsRead;104;208;True;True
293;19;internal.metrics.shuffle.read.recordsRead;104;104;True;True
294;18;internal.metrics.shuffle.write.bytesWritten;24839437;49698140;True;True
294;19;internal.metrics.shuffle.write.bytesWritten;24858703;24858703;True;True
295;18;internal.metrics.shuffle.write.recordsWritten;800;1600;True;True
295;19;internal.metrics.shuffle.write.recordsWritten;800;800;True;True
296;18;internal.metrics.shuffle.write.writeTime;86308519;204597895;True;True
296;19;internal.metrics.shuffle.write.writeTime;118289376;118289376;True;True
304;20;internal.metrics.executorDeserializeTime;7;10;True;True
304;21;internal.metrics.executorDeserializeTime;3;3;True;True
305;20;internal.metrics.executorDeserializeCpuTime;3354042;6567737;True;True
305;21;internal.metrics.executorDeserializeCpuTime;3213695;3213695;True;True
306;20;internal.metrics.executorRunTime;58573;116647;True;True
306;21;internal.metrics.executorRunTime;58074;58074;True;True
307;20;internal.metrics.executorCpuTime;87173726;172779471;True;True
307;21;internal.metrics.executorCpuTime;85605745;85605745;True;True
308;20;internal.metrics.resultSize;2185;4370;True;True
308;21;internal.metrics.resultSize;2185;2185;True;True
311;20;internal.metrics.memoryBytesSpilled;256901120;577765376;True;True
311;21;internal.metrics.memoryBytesSpilled;320864256;320864256;True;True
312;20;internal.metrics.diskBytesSpilled;20382321;42617536;True;True
312;21;internal.metrics.diskBytesSpilled;22235215;22235215;True;True
317;20;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
317;21;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
318;20;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
318;21;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
319;20;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
319;21;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
320;20;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
320;21;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
321;20;internal.metrics.shuffle.read.localBytesRead;25595195;49698140;True;True
321;21;internal.metrics.shuffle.read.localBytesRead;24102945;24102945;True;True
322;20;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
322;21;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
323;20;internal.metrics.shuffle.read.recordsRead;800;1600;True;True
323;21;internal.metrics.shuffle.read.recordsRead;800;800;True;True
