RDD ID;Name;Callsite;Parent IDs;Storage Level;Barrier;Number of Partitions;Number of Cached Partitions;Memory Size;Disk Size;Scope;Stage ID
26;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[25];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""36"",""name"":""partitionBy""}";21
27;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[26];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""37"",""name"":""mapPartitions""}";21
29;PythonRDD;groupByKey at <command-1341553813220844>:112;[27];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;21
30;PairwiseRDD;groupByKey at <command-1341553813220844>:112;[29];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;21
31;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[30];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""49"",""name"":""partitionBy""}";22
32;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[31];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""50"",""name"":""mapPartitions""}";22
33;PythonRDD;groupByKey at <command-1341553813220844>:117;[32];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;22
34;PairwiseRDD;groupByKey at <command-1341553813220844>:117;[33];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;22
35;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[34];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""51"",""name"":""partitionBy""}";32
35;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[34];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""51"",""name"":""partitionBy""}";23
