Accumulable ID;Task ID;Name;Update;Value;Internal;Count Failed Values
2;0;internal.metrics.executorDeserializeTime;729;729;True;True
2;1;internal.metrics.executorDeserializeTime;735;1464;True;True
3;0;internal.metrics.executorDeserializeCpuTime;259748177;259748177;True;True
3;1;internal.metrics.executorDeserializeCpuTime;299280715;559028892;True;True
4;0;internal.metrics.executorRunTime;5672;5672;True;True
4;1;internal.metrics.executorRunTime;5774;11446;True;True
5;0;internal.metrics.executorCpuTime;478996494;478996494;True;True
5;1;internal.metrics.executorCpuTime;446950518;925947012;True;True
6;0;internal.metrics.resultSize;1951;1951;True;True
6;1;internal.metrics.resultSize;1913;3864;True;True
8;0;internal.metrics.resultSerializationTime;2;2;True;True
9;0;internal.metrics.memoryBytesSpilled;0;0;True;True
9;1;internal.metrics.memoryBytesSpilled;0;0;True;True
10;0;internal.metrics.diskBytesSpilled;0;0;True;True
10;1;internal.metrics.diskBytesSpilled;0;0;True;True
22;0;internal.metrics.shuffle.write.bytesWritten;2054948;2054948;True;True
22;1;internal.metrics.shuffle.write.bytesWritten;2055283;4110231;True;True
23;0;internal.metrics.shuffle.write.recordsWritten;38;38;True;True
23;1;internal.metrics.shuffle.write.recordsWritten;38;76;True;True
24;0;internal.metrics.shuffle.write.writeTime;41176494;41176494;True;True
24;1;internal.metrics.shuffle.write.writeTime;24503687;65680181;True;True
26;0;internal.metrics.input.recordsRead;223076;223076;True;True
26;1;internal.metrics.input.recordsRead;223096;446172;True;True
32;2;internal.metrics.executorDeserializeTime;39;80;True;True
32;3;internal.metrics.executorDeserializeTime;41;41;True;True
33;2;internal.metrics.executorDeserializeCpuTime;18810780;36606922;True;True
33;3;internal.metrics.executorDeserializeCpuTime;17796142;17796142;True;True
34;2;internal.metrics.executorRunTime;9651;18872;True;True
34;3;internal.metrics.executorRunTime;9221;9221;True;True
35;2;internal.metrics.executorCpuTime;90795126;181417056;True;True
35;3;internal.metrics.executorCpuTime;90621930;90621930;True;True
36;2;internal.metrics.resultSize;2185;4370;True;True
36;3;internal.metrics.resultSize;2185;2185;True;True
39;2;internal.metrics.memoryBytesSpilled;0;0;True;True
39;3;internal.metrics.memoryBytesSpilled;0;0;True;True
40;2;internal.metrics.diskBytesSpilled;0;0;True;True
40;3;internal.metrics.diskBytesSpilled;0;0;True;True
45;2;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
45;3;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
46;2;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
46;3;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
47;2;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
47;3;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
48;2;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
48;3;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
49;2;internal.metrics.shuffle.read.localBytesRead;2055600;4110231;True;True
49;3;internal.metrics.shuffle.read.localBytesRead;2054631;2054631;True;True
50;2;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
50;3;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
51;2;internal.metrics.shuffle.read.recordsRead;38;76;True;True
51;3;internal.metrics.shuffle.read.recordsRead;38;38;True;True
52;2;internal.metrics.shuffle.write.bytesWritten;2533526;5064144;True;True
52;3;internal.metrics.shuffle.write.bytesWritten;2530618;2530618;True;True
53;2;internal.metrics.shuffle.write.recordsWritten;46;92;True;True
53;3;internal.metrics.shuffle.write.recordsWritten;46;46;True;True
54;2;internal.metrics.shuffle.write.writeTime;12197695;25799274;True;True
54;3;internal.metrics.shuffle.write.writeTime;13601579;13601579;True;True
62;4;internal.metrics.executorDeserializeTime;4;4;True;True
62;5;internal.metrics.executorDeserializeTime;6;10;True;True
63;4;internal.metrics.executorDeserializeCpuTime;3836104;3836104;True;True
63;5;internal.metrics.executorDeserializeCpuTime;3749194;7585298;True;True
64;4;internal.metrics.executorRunTime;4281;4281;True;True
64;5;internal.metrics.executorRunTime;4190;8471;True;True
65;4;internal.metrics.executorCpuTime;16436056;16436056;True;True
65;5;internal.metrics.executorCpuTime;15643599;32079655;True;True
66;4;internal.metrics.resultSize;3491402;3491402;True;True
66;5;internal.metrics.resultSize;3481108;6972510;True;True
68;4;internal.metrics.resultSerializationTime;3;3;True;True
68;5;internal.metrics.resultSerializationTime;3;6;True;True
69;4;internal.metrics.memoryBytesSpilled;0;0;True;True
69;5;internal.metrics.memoryBytesSpilled;0;0;True;True
70;4;internal.metrics.diskBytesSpilled;0;0;True;True
70;5;internal.metrics.diskBytesSpilled;0;0;True;True
75;4;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
75;5;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
76;4;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
76;5;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
77;4;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
77;5;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
78;4;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
78;5;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
79;4;internal.metrics.shuffle.read.localBytesRead;2535017;2535017;True;True
79;5;internal.metrics.shuffle.read.localBytesRead;2529127;5064144;True;True
80;4;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
80;5;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
81;4;internal.metrics.shuffle.read.recordsRead;46;46;True;True
81;5;internal.metrics.shuffle.read.recordsRead;46;92;True;True
92;6;internal.metrics.executorDeserializeTime;16;21;True;True
92;7;internal.metrics.executorDeserializeTime;5;5;True;True
93;6;internal.metrics.executorDeserializeCpuTime;4908106;9520941;True;True
93;7;internal.metrics.executorDeserializeCpuTime;4612835;4612835;True;True
94;6;internal.metrics.executorRunTime;7651;14870;True;True
94;7;internal.metrics.executorRunTime;7219;7219;True;True
95;6;internal.metrics.executorCpuTime;54472625;108911447;True;True
95;7;internal.metrics.executorCpuTime;54438822;54438822;True;True
96;6;internal.metrics.resultSize;2141;4282;True;True
96;7;internal.metrics.resultSize;2141;2141;True;True
99;6;internal.metrics.memoryBytesSpilled;0;0;True;True
99;7;internal.metrics.memoryBytesSpilled;0;0;True;True
100;6;internal.metrics.diskBytesSpilled;0;0;True;True
100;7;internal.metrics.diskBytesSpilled;0;0;True;True
105;6;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
105;7;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
106;6;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
106;7;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
107;6;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
107;7;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
108;6;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
108;7;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
109;6;internal.metrics.shuffle.read.localBytesRead;2535017;5064144;True;True
109;7;internal.metrics.shuffle.read.localBytesRead;2529127;2529127;True;True
110;6;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
110;7;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
111;6;internal.metrics.shuffle.read.recordsRead;46;92;True;True
111;7;internal.metrics.shuffle.read.recordsRead;46;46;True;True
112;6;internal.metrics.shuffle.write.bytesWritten;3087855;6172356;True;True
112;7;internal.metrics.shuffle.write.bytesWritten;3084501;3084501;True;True
113;6;internal.metrics.shuffle.write.recordsWritten;40;80;True;True
113;7;internal.metrics.shuffle.write.recordsWritten;40;40;True;True
114;6;internal.metrics.shuffle.write.writeTime;12052646;23298344;True;True
114;7;internal.metrics.shuffle.write.writeTime;11245698;11245698;True;True
122;8;internal.metrics.executorDeserializeTime;4;8;True;True
122;9;internal.metrics.executorDeserializeTime;4;4;True;True
123;8;internal.metrics.executorDeserializeCpuTime;4162474;8310222;True;True
123;9;internal.metrics.executorDeserializeCpuTime;4147748;4147748;True;True
124;8;internal.metrics.executorRunTime;17698;35293;True;True
124;9;internal.metrics.executorRunTime;17595;17595;True;True
125;8;internal.metrics.executorCpuTime;81428262;161129224;True;True
125;9;internal.metrics.executorCpuTime;79700962;79700962;True;True
126;8;internal.metrics.resultSize;2185;4370;True;True
126;9;internal.metrics.resultSize;2185;2185;True;True
129;8;internal.metrics.memoryBytesSpilled;0;0;True;True
129;9;internal.metrics.memoryBytesSpilled;0;0;True;True
130;8;internal.metrics.diskBytesSpilled;0;0;True;True
130;9;internal.metrics.diskBytesSpilled;0;0;True;True
135;8;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
