Accumulable ID;Task ID;Name;Update;Value;Internal;Count Failed Values
2;0;internal.metrics.executorDeserializeTime;829;829;True;True
2;1;internal.metrics.executorDeserializeTime;825;1654;True;True
3;0;internal.metrics.executorDeserializeCpuTime;224030267;224030267;True;True
3;1;internal.metrics.executorDeserializeCpuTime;333865896;557896163;True;True
4;0;internal.metrics.executorRunTime;5663;5663;True;True
4;1;internal.metrics.executorRunTime;6117;11780;True;True
5;0;internal.metrics.executorCpuTime;596600549;596600549;True;True
5;1;internal.metrics.executorCpuTime;311533213;908133762;True;True
6;0;internal.metrics.resultSize;1951;1951;True;True
6;1;internal.metrics.resultSize;1913;3864;True;True
8;0;internal.metrics.resultSerializationTime;2;2;True;True
9;0;internal.metrics.memoryBytesSpilled;0;0;True;True
9;1;internal.metrics.memoryBytesSpilled;0;0;True;True
10;0;internal.metrics.diskBytesSpilled;0;0;True;True
10;1;internal.metrics.diskBytesSpilled;0;0;True;True
22;0;internal.metrics.shuffle.write.bytesWritten;2054948;2054948;True;True
22;1;internal.metrics.shuffle.write.bytesWritten;2055283;4110231;True;True
23;0;internal.metrics.shuffle.write.recordsWritten;38;38;True;True
23;1;internal.metrics.shuffle.write.recordsWritten;38;76;True;True
24;0;internal.metrics.shuffle.write.writeTime;43366000;43366000;True;True
24;1;internal.metrics.shuffle.write.writeTime;14341741;57707741;True;True
26;0;internal.metrics.input.recordsRead;223076;223076;True;True
26;1;internal.metrics.input.recordsRead;223096;446172;True;True
32;2;internal.metrics.executorDeserializeTime;65;122;True;True
32;3;internal.metrics.executorDeserializeTime;57;57;True;True
33;2;internal.metrics.executorDeserializeCpuTime;20918993;42893405;True;True
33;3;internal.metrics.executorDeserializeCpuTime;21974412;21974412;True;True
34;2;internal.metrics.executorRunTime;10224;20244;True;True
34;3;internal.metrics.executorRunTime;10020;10020;True;True
35;2;internal.metrics.executorCpuTime;93869436;187905278;True;True
35;3;internal.metrics.executorCpuTime;94035842;94035842;True;True
36;2;internal.metrics.resultSize;2185;4370;True;True
36;3;internal.metrics.resultSize;2185;2185;True;True
39;2;internal.metrics.memoryBytesSpilled;0;0;True;True
39;3;internal.metrics.memoryBytesSpilled;0;0;True;True
40;2;internal.metrics.diskBytesSpilled;0;0;True;True
40;3;internal.metrics.diskBytesSpilled;0;0;True;True
45;2;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
45;3;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
46;2;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
46;3;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
47;2;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
47;3;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
48;2;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
48;3;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
49;2;internal.metrics.shuffle.read.localBytesRead;2055600;4110231;True;True
49;3;internal.metrics.shuffle.read.localBytesRead;2054631;2054631;True;True
50;2;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
50;3;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
51;2;internal.metrics.shuffle.read.recordsRead;38;76;True;True
51;3;internal.metrics.shuffle.read.recordsRead;38;38;True;True
52;2;internal.metrics.shuffle.write.bytesWritten;2567248;5131860;True;True
52;3;internal.metrics.shuffle.write.bytesWritten;2564612;2564612;True;True
53;2;internal.metrics.shuffle.write.recordsWritten;46;92;True;True
53;3;internal.metrics.shuffle.write.recordsWritten;46;46;True;True
54;2;internal.metrics.shuffle.write.writeTime;15568505;27330241;True;True
54;3;internal.metrics.shuffle.write.writeTime;11761736;11761736;True;True
62;4;internal.metrics.executorDeserializeTime;12;12;True;True
62;5;internal.metrics.executorDeserializeTime;10;22;True;True
63;4;internal.metrics.executorDeserializeCpuTime;4910657;4910657;True;True
63;5;internal.metrics.executorDeserializeCpuTime;5314537;10225194;True;True
64;4;internal.metrics.executorRunTime;4530;4530;True;True
64;5;internal.metrics.executorRunTime;4434;8964;True;True
65;4;internal.metrics.executorCpuTime;16346320;16346320;True;True
65;5;internal.metrics.executorCpuTime;16522260;32868580;True;True
66;4;internal.metrics.resultSize;3491402;3491402;True;True
66;5;internal.metrics.resultSize;3481108;6972510;True;True
68;4;internal.metrics.resultSerializationTime;3;3;True;True
68;5;internal.metrics.resultSerializationTime;3;6;True;True
69;4;internal.metrics.memoryBytesSpilled;0;0;True;True
69;5;internal.metrics.memoryBytesSpilled;0;0;True;True
70;4;internal.metrics.diskBytesSpilled;0;0;True;True
70;5;internal.metrics.diskBytesSpilled;0;0;True;True
75;4;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
75;5;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
76;4;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
76;5;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
77;4;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
77;5;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
78;4;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
78;5;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
79;4;internal.metrics.shuffle.read.localBytesRead;2568870;2568870;True;True
79;5;internal.metrics.shuffle.read.localBytesRead;2562990;5131860;True;True
80;4;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
80;5;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
81;4;internal.metrics.shuffle.read.recordsRead;46;46;True;True
81;5;internal.metrics.shuffle.read.recordsRead;46;92;True;True
92;6;internal.metrics.executorDeserializeTime;11;24;True;True
92;7;internal.metrics.executorDeserializeTime;13;13;True;True
93;6;internal.metrics.executorDeserializeCpuTime;4644283;9997973;True;True
93;7;internal.metrics.executorDeserializeCpuTime;5353690;5353690;True;True
94;6;internal.metrics.executorRunTime;7674;15040;True;True
94;7;internal.metrics.executorRunTime;7366;7366;True;True
95;6;internal.metrics.executorCpuTime;54736115;108770735;True;True
95;7;internal.metrics.executorCpuTime;54034620;54034620;True;True
96;6;internal.metrics.resultSize;2141;4282;True;True
96;7;internal.metrics.resultSize;2141;2141;True;True
99;6;internal.metrics.memoryBytesSpilled;0;0;True;True
99;7;internal.metrics.memoryBytesSpilled;0;0;True;True
100;6;internal.metrics.diskBytesSpilled;0;0;True;True
100;7;internal.metrics.diskBytesSpilled;0;0;True;True
105;6;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
105;7;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
106;6;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
106;7;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
107;6;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
107;7;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
108;6;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
108;7;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
109;6;internal.metrics.shuffle.read.localBytesRead;2568870;5131860;True;True
109;7;internal.metrics.shuffle.read.localBytesRead;2562990;2562990;True;True
110;6;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
110;7;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
111;6;internal.metrics.shuffle.read.recordsRead;46;92;True;True
111;7;internal.metrics.shuffle.read.recordsRead;46;46;True;True
112;6;internal.metrics.shuffle.write.bytesWritten;3087356;6171798;True;True
112;7;internal.metrics.shuffle.write.bytesWritten;3084442;3084442;True;True
113;6;internal.metrics.shuffle.write.recordsWritten;40;80;True;True
113;7;internal.metrics.shuffle.write.recordsWritten;40;40;True;True
114;6;internal.metrics.shuffle.write.writeTime;12203703;23671080;True;True
114;7;internal.metrics.shuffle.write.writeTime;11467377;11467377;True;True
122;8;internal.metrics.executorDeserializeTime;4;4;True;True
122;9;internal.metrics.executorDeserializeTime;5;9;True;True
123;8;internal.metrics.executorDeserializeCpuTime;3858243;3858243;True;True
123;9;internal.metrics.executorDeserializeCpuTime;4205462;8063705;True;True
124;8;internal.metrics.executorRunTime;17623;17623;True;True
124;9;internal.metrics.executorRunTime;17970;35593;True;True
125;8;internal.metrics.executorCpuTime;83373340;83373340;True;True
125;9;internal.metrics.executorCpuTime;88788042;172161382;True;True
126;8;internal.metrics.resultSize;2185;2185;True;True
126;9;internal.metrics.resultSize;2185;4370;True;True
129;8;internal.metrics.memoryBytesSpilled;0;0;True;True
129;9;internal.metrics.memoryBytesSpilled;0;0;True;True
130;8;internal.metrics.diskBytesSpilled;0;0;True;True
130;9;internal.metrics.diskBytesSpilled;0;0;True;True
135;8;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
135;9;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
136;8;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
136;9;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
137;8;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
137;9;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
138;8;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
138;9;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
139;8;internal.metrics.shuffle.read.localBytesRead;3075112;3075112;True;True
139;9;internal.metrics.shuffle.read.localBytesRead;3096686;6171798;True;True
140;8;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
140;9;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
141;8;internal.metrics.shuffle.read.recordsRead;40;40;True;True
141;9;internal.metrics.shuffle.read.recordsRead;40;80;True;True
142;8;internal.metrics.shuffle.write.bytesWritten;4284133;4284133;True;True
142;9;internal.metrics.shuffle.write.bytesWritten;4281468;8565601;True;True
143;8;internal.metrics.shuffle.write.recordsWritten;52;52;True;True
143;9;internal.metrics.shuffle.write.recordsWritten;51;103;True;True
144;8;internal.metrics.shuffle.write.writeTime;22141800;22141800;True;True
144;9;internal.metrics.shuffle.write.writeTime;22526603;44668403;True;True
152;10;internal.metrics.executorDeserializeTime;6;6;True;True
152;11;internal.metrics.executorDeserializeTime;2;8;True;True
153;10;internal.metrics.executorDeserializeCpuTime;3874170;3874170;True;True
153;11;internal.metrics.executorDeserializeCpuTime;2441232;6315402;True;True
154;10;internal.metrics.executorRunTime;8525;8525;True;True
154;11;internal.metrics.executorRunTime;8746;17271;True;True
155;10;internal.metrics.executorCpuTime;17214975;17214975;True;True
155;11;internal.metrics.executorCpuTime;16480712;33695687;True;True
156;10;internal.metrics.resultSize;5955182;5955182;True;True
156;11;internal.metrics.resultSize;5945937;11901119;True;True
158;10;internal.metrics.resultSerializationTime;10;10;True;True
158;11;internal.metrics.resultSerializationTime;5;15;True;True
159;10;internal.metrics.memoryBytesSpilled;0;0;True;True
159;11;internal.metrics.memoryBytesSpilled;0;0;True;True
160;10;internal.metrics.diskBytesSpilled;0;0;True;True
160;11;internal.metrics.diskBytesSpilled;0;0;True;True
165;10;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
165;11;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
166;10;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
166;11;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
167;10;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
167;11;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
168;10;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
168;11;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
169;10;internal.metrics.shuffle.read.localBytesRead;4287139;4287139;True;True
169;11;internal.metrics.shuffle.read.localBytesRead;4278462;8565601;True;True
170;10;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
170;11;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
171;10;internal.metrics.shuffle.read.recordsRead;51;51;True;True
171;11;internal.metrics.shuffle.read.recordsRead;52;103;True;True
182;12;internal.metrics.executorDeserializeTime;4;10;True;True
182;13;internal.metrics.executorDeserializeTime;6;6;True;True
183;12;internal.metrics.executorDeserializeCpuTime;3149279;7403948;True;True
183;13;internal.metrics.executorDeserializeCpuTime;4254669;4254669;True;True
184;12;internal.metrics.executorRunTime;12672;25225;True;True
184;13;internal.metrics.executorRunTime;12553;12553;True;True
185;12;internal.metrics.executorCpuTime;76699980;154053141;True;True
185;13;internal.metrics.executorCpuTime;77353161;77353161;True;True
186;12;internal.metrics.resultSize;2141;4282;True;True
186;13;internal.metrics.resultSize;2141;2141;True;True
189;12;internal.metrics.memoryBytesSpilled;0;0;True;True
189;13;internal.metrics.memoryBytesSpilled;0;0;True;True
190;12;internal.metrics.diskBytesSpilled;0;0;True;True
190;13;internal.metrics.diskBytesSpilled;0;0;True;True
195;12;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
195;13;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
196;12;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
196;13;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
197;12;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
197;13;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
198;12;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
198;13;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
