RDD ID;Name;Callsite;Parent IDs;Storage Level;Barrier;Number of Partitions;Number of Cached Partitions;Memory Size;Disk Size;Scope;Stage ID
168;dbfs:/FileStore/graph_7M.txt;textFile at NativeMethodAccessorImpl.java:0;[];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""282"",""name"":""textFile""}";144
169;dbfs:/FileStore/graph_7M.txt;textFile at NativeMethodAccessorImpl.java:0;[168];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""282"",""name"":""textFile""}";144
170;PythonRDD;groupByKey at <command-193306450925007>:31;[169];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;144
171;PairwiseRDD;groupByKey at <command-193306450925007>:31;[170];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;144
172;ShuffledRDD;partitionBy at <unknown>:0;[171];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""285"",""name"":""partitionBy""}";145
173;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[172];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""286"",""name"":""mapPartitions""}";145
174;PythonRDD;groupByKey at <command-193306450925007>:36;[173];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;145
175;PairwiseRDD;groupByKey at <command-193306450925007>:36;[174];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;145
176;ShuffledRDD;partitionBy at <unknown>:0;[175];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""287"",""name"":""partitionBy""}";146
176;ShuffledRDD;partitionBy at <unknown>:0;[175];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""287"",""name"":""partitionBy""}";149
177;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[176];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""288"",""name"":""mapPartitions""}";146
177;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[176];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""288"",""name"":""mapPartitions""}";149
178;PythonRDD;collect at <command-193306450925007>:39;[177];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;146
179;PythonRDD;groupByKey at <command-193306450925007>:31;[177];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;149
180;PairwiseRDD;groupByKey at <command-193306450925007>:31;[179];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;149
181;ShuffledRDD;partitionBy at <unknown>:0;[180];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""301"",""name"":""partitionBy""}";150
182;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[181];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""302"",""name"":""mapPartitions""}";150
183;PythonRDD;groupByKey at <command-193306450925007>:36;[182];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;150
