Accumulable ID;Task ID;Name;Update;Value;Internal;Count Failed Values
1;0;internal.metrics.executorDeserializeTime;1043;2078;True;True
1;1;internal.metrics.executorDeserializeTime;1035;1035;True;True
2;0;internal.metrics.executorDeserializeCpuTime;268417380;528230949;True;True
2;1;internal.metrics.executorDeserializeCpuTime;259813569;259813569;True;True
3;0;internal.metrics.executorRunTime;10401;20688;True;True
3;1;internal.metrics.executorRunTime;10287;10287;True;True
4;0;internal.metrics.executorCpuTime;659921231;1035020143;True;True
4;1;internal.metrics.executorCpuTime;375098912;375098912;True;True
5;0;internal.metrics.resultSize;1913;3864;True;True
5;1;internal.metrics.resultSize;1951;1951;True;True
7;1;internal.metrics.resultSerializationTime;2;2;True;True
8;0;internal.metrics.memoryBytesSpilled;0;0;True;True
8;1;internal.metrics.memoryBytesSpilled;0;0;True;True
9;0;internal.metrics.diskBytesSpilled;0;0;True;True
9;1;internal.metrics.diskBytesSpilled;0;0;True;True
21;0;internal.metrics.shuffle.write.bytesWritten;4296122;8593184;True;True
21;1;internal.metrics.shuffle.write.bytesWritten;4297062;4297062;True;True
22;0;internal.metrics.shuffle.write.recordsWritten;42;84;True;True
22;1;internal.metrics.shuffle.write.recordsWritten;42;42;True;True
23;0;internal.metrics.shuffle.write.writeTime;29302683;81847919;True;True
23;1;internal.metrics.shuffle.write.writeTime;52545236;52545236;True;True
25;0;internal.metrics.input.recordsRead;411842;823827;True;True
25;1;internal.metrics.input.recordsRead;411985;411985;True;True
31;2;internal.metrics.executorDeserializeTime;76;153;True;True
31;3;internal.metrics.executorDeserializeTime;77;77;True;True
32;2;internal.metrics.executorDeserializeCpuTime;21384686;39169882;True;True
32;3;internal.metrics.executorDeserializeCpuTime;17785196;17785196;True;True
33;2;internal.metrics.executorRunTime;21088;42133;True;True
33;3;internal.metrics.executorRunTime;21045;21045;True;True
34;2;internal.metrics.executorCpuTime;151919340;288075234;True;True
34;3;internal.metrics.executorCpuTime;136155894;136155894;True;True
35;2;internal.metrics.resultSize;2185;4370;True;True
35;3;internal.metrics.resultSize;2185;2185;True;True
38;2;internal.metrics.memoryBytesSpilled;0;0;True;True
38;3;internal.metrics.memoryBytesSpilled;0;0;True;True
39;2;internal.metrics.diskBytesSpilled;0;0;True;True
39;3;internal.metrics.diskBytesSpilled;0;0;True;True
44;2;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
44;3;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
45;2;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
45;3;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
46;2;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
46;3;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
47;2;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
47;3;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
48;2;internal.metrics.shuffle.read.localBytesRead;4295514;8593184;True;True
48;3;internal.metrics.shuffle.read.localBytesRead;4297670;4297670;True;True
49;2;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
49;3;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
50;2;internal.metrics.shuffle.read.recordsRead;42;84;True;True
50;3;internal.metrics.shuffle.read.recordsRead;42;42;True;True
51;2;internal.metrics.shuffle.write.bytesWritten;5177035;10351947;True;True
51;3;internal.metrics.shuffle.write.bytesWritten;5174912;5174912;True;True
52;2;internal.metrics.shuffle.write.recordsWritten;342;392;True;True
52;3;internal.metrics.shuffle.write.recordsWritten;50;50;True;True
53;2;internal.metrics.shuffle.write.writeTime;37163599;70300441;True;True
53;3;internal.metrics.shuffle.write.writeTime;33136842;33136842;True;True
61;4;internal.metrics.executorDeserializeTime;25;25;True;True
61;5;internal.metrics.executorDeserializeTime;24;49;True;True
62;4;internal.metrics.executorDeserializeCpuTime;5939889;5939889;True;True
62;5;internal.metrics.executorDeserializeCpuTime;5591399;11531288;True;True
63;4;internal.metrics.executorRunTime;8030;8030;True;True
63;5;internal.metrics.executorRunTime;8830;16860;True;True
64;4;internal.metrics.executorCpuTime;24278886;24278886;True;True
64;5;internal.metrics.executorCpuTime;24026319;48305205;True;True
65;4;internal.metrics.resultSize;7038403;7038403;True;True
65;5;internal.metrics.resultSize;7027293;14065696;True;True
67;4;internal.metrics.resultSerializationTime;15;15;True;True
67;5;internal.metrics.resultSerializationTime;24;39;True;True
68;4;internal.metrics.memoryBytesSpilled;0;0;True;True
68;5;internal.metrics.memoryBytesSpilled;0;0;True;True
69;4;internal.metrics.diskBytesSpilled;0;0;True;True
69;5;internal.metrics.diskBytesSpilled;0;0;True;True
74;4;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
74;5;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
75;4;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
75;5;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
76;4;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
76;5;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
77;4;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
77;5;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
78;4;internal.metrics.shuffle.read.localBytesRead;5179798;5179798;True;True
78;5;internal.metrics.shuffle.read.localBytesRead;5172149;10351947;True;True
79;4;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
79;5;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
80;4;internal.metrics.shuffle.read.recordsRead;196;196;True;True
80;5;internal.metrics.shuffle.read.recordsRead;196;392;True;True
91;6;internal.metrics.executorDeserializeTime;9;9;True;True
91;7;internal.metrics.executorDeserializeTime;10;19;True;True
92;6;internal.metrics.executorDeserializeCpuTime;5510960;5510960;True;True
92;7;internal.metrics.executorDeserializeCpuTime;4674650;10185610;True;True
93;6;internal.metrics.executorRunTime;12968;12968;True;True
93;7;internal.metrics.executorRunTime;13295;26263;True;True
94;6;internal.metrics.executorCpuTime;114113453;114113453;True;True
94;7;internal.metrics.executorCpuTime;105485827;219599280;True;True
95;6;internal.metrics.resultSize;2141;2141;True;True
95;7;internal.metrics.resultSize;2141;4282;True;True
98;6;internal.metrics.memoryBytesSpilled;0;0;True;True
98;7;internal.metrics.memoryBytesSpilled;0;0;True;True
99;6;internal.metrics.diskBytesSpilled;0;0;True;True
99;7;internal.metrics.diskBytesSpilled;0;0;True;True
104;6;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
104;7;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
105;6;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
105;7;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
106;6;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
106;7;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
107;6;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
107;7;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
108;6;internal.metrics.shuffle.read.localBytesRead;5179798;5179798;True;True
108;7;internal.metrics.shuffle.read.localBytesRead;5172149;10351947;True;True
109;6;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
109;7;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
110;6;internal.metrics.shuffle.read.recordsRead;196;196;True;True
110;7;internal.metrics.shuffle.read.recordsRead;196;392;True;True
111;6;internal.metrics.shuffle.write.bytesWritten;6230384;6230384;True;True
111;7;internal.metrics.shuffle.write.bytesWritten;6230821;12461205;True;True
112;6;internal.metrics.shuffle.write.recordsWritten;364;364;True;True
112;7;internal.metrics.shuffle.write.recordsWritten;364;728;True;True
113;6;internal.metrics.shuffle.write.writeTime;37842616;37842616;True;True
113;7;internal.metrics.shuffle.write.writeTime;28707400;66550016;True;True
121;8;internal.metrics.executorDeserializeTime;11;17;True;True
121;9;internal.metrics.executorDeserializeTime;6;6;True;True
122;8;internal.metrics.executorDeserializeCpuTime;5386613;9863645;True;True
122;9;internal.metrics.executorDeserializeCpuTime;4477032;4477032;True;True
123;8;internal.metrics.executorRunTime;31282;62269;True;True
123;9;internal.metrics.executorRunTime;30987;30987;True;True
124;8;internal.metrics.executorCpuTime;198443777;400661482;True;True
124;9;internal.metrics.executorCpuTime;202217705;202217705;True;True
125;8;internal.metrics.resultSize;2223;4446;True;True
125;9;internal.metrics.resultSize;2223;2223;True;True
126;8;internal.metrics.jvmGCTime;116;232;True;True
126;9;internal.metrics.jvmGCTime;116;116;True;True
128;8;internal.metrics.memoryBytesSpilled;0;0;True;True
128;9;internal.metrics.memoryBytesSpilled;0;0;True;True
129;8;internal.metrics.diskBytesSpilled;0;0;True;True
129;9;internal.metrics.diskBytesSpilled;0;0;True;True
134;8;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
134;9;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
135;8;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
135;9;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
136;8;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
136;9;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
137;8;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
137;9;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
138;8;internal.metrics.shuffle.read.localBytesRead;6201214;12461205;True;True
138;9;internal.metrics.shuffle.read.localBytesRead;6259991;6259991;True;True
139;8;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
139;9;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
140;8;internal.metrics.shuffle.read.recordsRead;364;728;True;True
140;9;internal.metrics.shuffle.read.recordsRead;364;364;True;True
141;8;internal.metrics.shuffle.write.bytesWritten;8340321;16661435;True;True
141;9;internal.metrics.shuffle.write.bytesWritten;8321114;8321114;True;True
142;8;internal.metrics.shuffle.write.recordsWritten;2776;5550;True;True
142;9;internal.metrics.shuffle.write.recordsWritten;2774;2774;True;True
143;8;internal.metrics.shuffle.write.writeTime;52252053;112827933;True;True
143;9;internal.metrics.shuffle.write.writeTime;60575880;60575880;True;True
151;10;internal.metrics.executorDeserializeTime;11;15;True;True
151;11;internal.metrics.executorDeserializeTime;4;4;True;True
152;10;internal.metrics.executorDeserializeCpuTime;3904874;7756973;True;True
152;11;internal.metrics.executorDeserializeCpuTime;3852099;3852099;True;True
153;10;internal.metrics.executorRunTime;13128;26164;True;True
153;11;internal.metrics.executorRunTime;13036;13036;True;True
154;10;internal.metrics.executorCpuTime;28382727;57625439;True;True
154;11;internal.metrics.executorCpuTime;29242712;29242712;True;True
155;10;internal.metrics.resultSize;11756359;23508192;True;True
155;11;internal.metrics.resultSize;11751833;11751833;True;True
157;10;internal.metrics.resultSerializationTime;26;51;True;True
157;11;internal.metrics.resultSerializationTime;25;25;True;True
158;10;internal.metrics.memoryBytesSpilled;0;0;True;True
158;11;internal.metrics.memoryBytesSpilled;0;0;True;True
159;10;internal.metrics.diskBytesSpilled;0;0;True;True
159;11;internal.metrics.diskBytesSpilled;0;0;True;True
164;10;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
164;11;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
165;10;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
165;11;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
166;10;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
166;11;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
167;10;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
167;11;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
168;10;internal.metrics.shuffle.read.localBytesRead;8336151;16661435;True;True
168;11;internal.metrics.shuffle.read.localBytesRead;8325284;8325284;True;True
169;10;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
169;11;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
170;10;internal.metrics.shuffle.read.recordsRead;2775;5550;True;True
170;11;internal.metrics.shuffle.read.recordsRead;2775;2775;True;True
181;12;internal.metrics.executorDeserializeTime;3;6;True;True
181;13;internal.metrics.executorDeserializeTime;3;3;True;True
182;12;internal.metrics.executorDeserializeCpuTime;3755302;7323206;True;True
182;13;internal.metrics.executorDeserializeCpuTime;3567904;3567904;True;True
183;12;internal.metrics.executorRunTime;35928;71061;True;True
183;13;internal.metrics.executorRunTime;35133;35133;True;True
184;12;internal.metrics.executorCpuTime;119493509;240478297;True;True
184;13;internal.metrics.executorCpuTime;120984788;120984788;True;True
185;12;internal.metrics.resultSize;2141;4282;True;True
185;13;internal.metrics.resultSize;2141;2141;True;True
188;12;internal.metrics.memoryBytesSpilled;99614720;407896064;True;True
188;13;internal.metrics.memoryBytesSpilled;308281344;308281344;True;True
189;12;internal.metrics.diskBytesSpilled;12947391;25412963;True;True
189;13;internal.metrics.diskBytesSpilled;12465572;12465572;True;True
194;12;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
194;13;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
195;12;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
195;13;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
196;12;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
196;13;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
197;12;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
197;13;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
198;12;internal.metrics.shuffle.read.localBytesRead;8336151;16661435;True;True
198;13;internal.metrics.shuffle.read.localBytesRead;8325284;8325284;True;True
199;12;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
199;13;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
200;12;internal.metrics.shuffle.read.recordsRead;2775;5550;True;True
200;13;internal.metrics.shuffle.read.recordsRead;2775;2775;True;True
201;12;internal.metrics.shuffle.write.bytesWritten;9705243;19405350;True;True
201;13;internal.metrics.shuffle.write.bytesWritten;9700107;9700107;True;True
202;12;internal.metrics.shuffle.write.recordsWritten;42;84;True;True
202;13;internal.metrics.shuffle.write.recordsWritten;42;42;True;True
203;12;internal.metrics.shuffle.write.writeTime;38861967;96348159;True;True
203;13;internal.metrics.shuffle.write.writeTime;57486192;57486192;True;True
211;14;internal.metrics.executorDeserializeTime;2;2;True;True
211;15;internal.metrics.executorDeserializeTime;14;16;True;True
212;14;internal.metrics.executorDeserializeCpuTime;2733388;2733388;True;True
212;15;internal.metrics.executorDeserializeCpuTime;5768663;8502051;True;True
213;14;internal.metrics.executorRunTime;102185;102185;True;True
213;15;internal.metrics.executorRunTime;103598;205783;True;True
214;14;internal.metrics.executorCpuTime;194317320;194317320;True;True
214;15;internal.metrics.executorCpuTime;198888918;393206238;True;True
215;14;internal.metrics.resultSize;2185;2185;True;True
215;15;internal.metrics.resultSize;2185;4370;True;True
218;14;internal.metrics.memoryBytesSpilled;570425344;570425344;True;True
218;15;internal.metrics.memoryBytesSpilled;569376768;1139802112;True;True
219;14;internal.metrics.diskBytesSpilled;58468727;58468727;True;True
219;15;internal.metrics.diskBytesSpilled;58566095;117034822;True;True
224;14;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
224;15;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
225;14;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
225;15;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
226;14;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
226;15;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
227;14;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
227;15;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
228;14;internal.metrics.shuffle.read.localBytesRead;9693204;9693204;True;True
228;15;internal.metrics.shuffle.read.localBytesRead;9712146;19405350;True;True
229;14;internal.metrics.shuffle.read.fetchWaitTime;1;1;True;True
229;15;internal.metrics.shuffle.read.fetchWaitTime;0;1;True;True
230;14;internal.metrics.shuffle.read.recordsRead;42;42;True;True
230;15;internal.metrics.shuffle.read.recordsRead;42;84;True;True
231;14;internal.metrics.shuffle.write.bytesWritten;12659592;12659592;True;True
231;15;internal.metrics.shuffle.write.bytesWritten;12711692;25371284;True;True
232;14;internal.metrics.shuffle.write.recordsWritten;64;64;True;True
232;15;internal.metrics.shuffle.write.recordsWritten;64;128;True;True
233;14;internal.metrics.shuffle.write.writeTime;65879645;65879645;True;True
233;15;internal.metrics.shuffle.write.writeTime;62408498;128288143;True;True
241;16;internal.metrics.executorDeserializeTime;3;6;True;True
241;17;internal.metrics.executorDeserializeTime;3;3;True;True
242;16;internal.metrics.executorDeserializeCpuTime;3327721;6518147;True;True
242;17;internal.metrics.executorDeserializeCpuTime;3190426;3190426;True;True
243;16;internal.metrics.executorRunTime;21239;42262;True;True
243;17;internal.metrics.executorRunTime;21023;21023;True;True
244;16;internal.metrics.executorCpuTime;23745793;47188473;True;True
244;17;internal.metrics.executorCpuTime;23442680;23442680;True;True
245;16;internal.metrics.resultSize;11616680;23219020;True;True
245;17;internal.metrics.resultSize;11602340;11602340;True;True
247;16;internal.metrics.resultSerializationTime;12;35;True;True
247;17;internal.metrics.resultSerializationTime;23;23;True;True
248;16;internal.metrics.memoryBytesSpilled;0;0;True;True
248;17;internal.metrics.memoryBytesSpilled;0;0;True;True
249;16;internal.metrics.diskBytesSpilled;0;0;True;True
249;17;internal.metrics.diskBytesSpilled;0;0;True;True
254;16;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
254;17;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
255;16;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
255;17;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
256;16;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
256;17;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
257;16;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
257;17;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
258;16;internal.metrics.shuffle.read.localBytesRead;12685758;25371284;True;True
258;17;internal.metrics.shuffle.read.localBytesRead;12685526;12685526;True;True
259;16;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
259;17;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
260;16;internal.metrics.shuffle.read.recordsRead;64;128;True;True
260;17;internal.metrics.shuffle.read.recordsRead;64;64;True;True
271;18;internal.metrics.executorDeserializeTime;7;12;True;True
271;19;internal.metrics.executorDeserializeTime;5;5;True;True
272;18;internal.metrics.executorDeserializeCpuTime;3618676;6790136;True;True
272;19;internal.metrics.executorDeserializeCpuTime;3171460;3171460;True;True
273;18;internal.metrics.executorRunTime;34140;67664;True;True
273;19;internal.metrics.executorRunTime;33524;33524;True;True
274;18;internal.metrics.executorCpuTime;115758763;230832700;True;True
274;19;internal.metrics.executorCpuTime;115073937;115073937;True;True
275;18;internal.metrics.resultSize;2141;4282;True;True
275;19;internal.metrics.resultSize;2141;2141;True;True
278;18;internal.metrics.memoryBytesSpilled;373293056;744488960;True;True
278;19;internal.metrics.memoryBytesSpilled;371195904;371195904;True;True
279;18;internal.metrics.diskBytesSpilled;7061081;14112004;True;True
279;19;internal.metrics.diskBytesSpilled;7050923;7050923;True;True
284;18;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
284;19;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
285;18;internal.metrics.shuffle.read.localBlocksFetched;2;4;True;True
285;19;internal.metrics.shuffle.read.localBlocksFetched;2;2;True;True
286;18;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
286;19;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
287;18;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
287;19;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
288;18;internal.metrics.shuffle.read.localBytesRead;12685758;25371284;True;True
288;19;internal.metrics.shuffle.read.localBytesRead;12685526;12685526;True;True
289;18;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
289;19;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
290;18;internal.metrics.shuffle.read.recordsRead;64;128;True;True
290;19;internal.metrics.shuffle.read.recordsRead;64;64;True;True
291;18;internal.metrics.shuffle.write.bytesWritten;8850951;17694234;True;True
291;19;internal.metrics.shuffle.write.bytesWritten;8843283;8843283;True;True
