RDD ID;Name;Callsite;Parent IDs;Storage Level;Barrier;Number of Partitions;Number of Cached Partitions;Memory Size;Disk Size;Scope;Stage ID
0;dbfs:/FileStore/graph_10M.txt;textFile at NativeMethodAccessorImpl.java:0;[];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""0"",""name"":""textFile""}";0
1;dbfs:/FileStore/graph_10M.txt;textFile at NativeMethodAccessorImpl.java:0;[0];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""0"",""name"":""textFile""}";0
2;PythonRDD;groupByKey at <command-193306450925007>:32;[1];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;0
3;PairwiseRDD;groupByKey at <command-193306450925007>:32;[2];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;0
4;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[3];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""3"",""name"":""partitionBy""}";1
5;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[4];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""4"",""name"":""mapPartitions""}";1
6;PythonRDD;groupByKey at <command-193306450925007>:37;[5];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;1
7;PairwiseRDD;groupByKey at <command-193306450925007>:37;[6];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;1
8;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[7];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""5"",""name"":""partitionBy""}";2
8;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[7];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""5"",""name"":""partitionBy""}";5
9;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[8];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""6"",""name"":""mapPartitions""}";5
9;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[8];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""6"",""name"":""mapPartitions""}";2
10;PythonRDD;collect at <command-193306450925007>:40;[9];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;2
11;PythonRDD;groupByKey at <command-193306450925007>:32;[9];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;5
12;PairwiseRDD;groupByKey at <command-193306450925007>:32;[11];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;5
13;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[12];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""19"",""name"":""partitionBy""}";6
14;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[13];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""20"",""name"":""mapPartitions""}";6
15;PythonRDD;groupByKey at <command-193306450925007>:37;[14];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;6
16;PairwiseRDD;groupByKey at <command-193306450925007>:37;[15];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;6
17;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[16];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""21"",""name"":""partitionBy""}";7
17;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[16];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""21"",""name"":""partitionBy""}";12
18;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[17];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""22"",""name"":""mapPartitions""}";7
18;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[17];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""22"",""name"":""mapPartitions""}";12
19;PythonRDD;collect at <command-193306450925007>:40;[18];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;7
20;PythonRDD;groupByKey at <command-193306450925007>:32;[18];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;12
21;PairwiseRDD;groupByKey at <command-193306450925007>:32;[20];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;12
22;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[21];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""34"",""name"":""partitionBy""}";13
23;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[22];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""35"",""name"":""mapPartitions""}";13
24;PythonRDD;groupByKey at <command-193306450925007>:37;[23];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;13
25;PairwiseRDD;groupByKey at <command-193306450925007>:37;[24];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;13
26;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[25];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""36"",""name"":""partitionBy""}";21
26;ShuffledRDD;partitionBy at NativeMethodAccessorImpl.java:0;[25];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""36"",""name"":""partitionBy""}";14
27;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[26];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""37"",""name"":""mapPartitions""}";21
27;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[26];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""37"",""name"":""mapPartitions""}";14
