Task ID;Attempt;Launch Time;Executor ID;Host;Locality;Speculative;Getting Result Time;Finish Time;Failed;Killed;Stage ID;Duration
1;0;2021-02-25 13:44:37.775;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-25 13:44:49.274;False;False;0;11.499
0;0;2021-02-25 13:44:37.743;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-25 13:44:49.387;False;False;0;11.644
3;0;2021-02-25 13:44:49.498;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-25 13:45:10.643;False;False;1;21.145
2;0;2021-02-25 13:44:49.496;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-25 13:45:10.676;False;False;1;21.18
4;0;2021-02-25 13:45:10.717;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;1614260718869;2021-02-25 13:45:19.157;False;False;2;8.44
5;0;2021-02-25 13:45:10.720;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;1614260719641;2021-02-25 13:45:19.712;False;False;2;8.992
6;0;2021-02-25 13:45:20.344;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-25 13:45:33.352;False;False;5;13.008
7;0;2021-02-25 13:45:20.345;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-25 13:45:33.686;False;False;5;13.341
9;0;2021-02-25 13:45:33.738;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-25 13:46:04.747;False;False;6;31.009
8;0;2021-02-25 13:45:33.737;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-02-25 13:46:05.041;False;False;6;31.304
11;0;2021-02-25 13:46:05.082;driver;ip-10-172-237-237.us-west-2.compute.internal;PROCESS_LOCAL;False;1614260778179;2021-02-25 13:46:18.285;False;False;7;13.203
