Stage ID;Job ID;Pool Name ;Description ;Submitted ;Duration;Tasks: Succeeded/Total;Input ;Output ;Shuffle Read ;Shuffle Write ;Type
0;0;7,98E+17;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:112 +details ";16/03/2021 08:49;21;02-févr;;;;20.5 MiB;sorted
1;0;7,98E+17;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:117 +details ";16/03/2021 08:49;96;02-févr;;;20.5 MiB;29.9 MiB;sorted
2;0;7,98E+17;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120 +details ";16/03/2021 08:51;72;02-févr;;;29.9 MiB;;sorted
5;1;7,98E+17;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:112 +details ";16/03/2021 08:52;90;02-févr;;;29.9 MiB;30.5 MiB;sorted
6;1;7,98E+17;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:117 +details ";16/03/2021 08:54;144;02-févr;;;30.5 MiB;50.6 MiB;sorted
7;1;7,98E+17;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120 +details ";16/03/2021 08:56;102;02-févr;;;50.6 MiB;;sorted
12;2;default ;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:112 +details ";16/03/2021 08:58;138;02-févr;;;50.6 MiB;46.7 MiB;sorted
13;2;default ;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:117 +details ";16/03/2021 09:00;180;02-févr;;;46.7 MiB;63.3 MiB;sorted
14;2;default ;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120 +details ";16/03/2021 09:03;132;02-févr;;;63.3 MiB;;sorted
21;3;default ;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:112 +details ";16/03/2021 09:05;168;02-févr;;;63.3 MiB;47.4 MiB;sorted
22;3;default ;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:117 +details ";16/03/2021 09:08;59;02-févr;;;47.4 MiB;8.0 MiB;sorted
23;3;default ;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120 +details ";16/03/2021 09:09;6;02-févr;;;8.0 MiB;;sorted
32;4;default ;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:112 +details ";16/03/2021 09:09;10;02-févr;;;8.0 MiB;6.2 MiB;sorted
33;4;default ;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:117 +details ";16/03/2021 09:09;9;02-févr;;;6.2 MiB;2.3 MiB;sorted
34;4;default ;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120 +details ";16/03/2021 09:10;3;02-févr;;;2.3 MiB;;sorted
45;5;default ;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:112 +details ";16/03/2021 09:10;4;02-févr;;;2.3 MiB;3.1 MiB;sorted
46;5;default ;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:117 +details ";16/03/2021 09:10;6;02-févr;;;3.1 MiB;1671.8 KiB;sorted
47;5;default ;"user_inputs = { ""25M"": 5, } for k, v in user... collect at <command-1341553813220844>:120 +details ";16/03/2021 09:10;2;02-févr;;;1671.8 KiB;;sorted
48;6;7,98E+17;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:28 +details ";16/03/2021 09:20;15;02-févr;;;;20.5 MiB;min
49;6;7,98E+17;"user_inputs = { ""25M"": 5, } for k, v in user... groupByKey at <command-1341553813220844>:33 +details ";16/03/2021 09:20;96;02-févr;;;20.5 MiB;29.9 MiB;min
