filename,algo_type,loop_counter,command,end_of_command,accum,length
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-rdd,0,start,2021-03-28T11:55:07.859+0000,0,0
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-rdd,1,ded_reduce,2021-03-28T11:57:45.769+0000,8670951,3265665
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-rdd,2,ded_reduce,2021-03-28T11:58:52.469+0000,4821525,2137152
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-rdd,3,ded_reduce,2021-03-28T11:59:47.267+0000,3278772,2447178
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-rdd,4,ded_reduce,2021-03-28T12:00:41.511+0000,3888454,1805991
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-rdd,5,ded_reduce,2021-03-28T12:01:20.327+0000,1905323,916041
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-rdd,6,ded_reduce,2021-03-28T12:01:47.952+0000,86783,873626
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-rdd,7,ded_reduce,2021-03-28T12:02:14.186+0000,1318,872967
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-rdd,8,ded_reduce,2021-03-28T12:02:40.216+0000,0,872967
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-df,0,start,2021-03-28T12:02:40.615+0000,0,0
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-df,1,ded_reduce,2021-03-28T12:04:07.353+0000,8670951,3265665
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-df,2,ded_reduce,2021-03-28T12:05:47.007+0000,4821525,2137152
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-df,3,ded_reduce,2021-03-28T12:07:02.678+0000,3278772,2447178
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-df,4,ded_reduce,2021-03-28T12:08:20.723+0000,3888454,1805991
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-df,5,ded_reduce,2021-03-28T12:09:13.949+0000,1905323,916041
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-df,6,ded_reduce,2021-03-28T12:09:46.686+0000,86783,873626
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-df,7,ded_reduce,2021-03-28T12:10:19.416+0000,1318,872967
dbfs:/FileStore/graphsMapReduce/data/web-Google.txt,python-df,8,ded_reduce,2021-03-28T12:10:49.830+0000,0,872967
