Task ID;Attempt;Launch Time;Executor ID;Host;Locality;Speculative;Getting Result Time;Finish Time;Failed;Killed;Stage ID;Duration
0;0;2021-03-10 11:00:13.759;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:00:20.358;False;False;0;6.599
1;0;2021-03-10 11:00:13.795;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:00:20.458;False;False;0;6.663
3;0;2021-03-10 11:00:20.518;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:00:29.802;False;False;1;9.284
2;0;2021-03-10 11:00:20.517;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:00:30.222;False;False;1;9.705
4;0;2021-03-10 11:00:30.262;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;1615374034603;2021-03-10 11:00:34.743;False;False;2;4.481
5;0;2021-03-10 11:00:30.264;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;1615374034513;2021-03-10 11:00:34.788;False;False;2;4.524
7;0;2021-03-10 11:00:35.327;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:00:42.577;False;False;5;7.25
6;0;2021-03-10 11:00:35.326;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:00:43.002;False;False;5;7.676
9;0;2021-03-10 11:00:43.037;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:01:00.649;False;False;6;17.612
8;0;2021-03-10 11:00:43.036;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:01:00.746;False;False;6;17.71
11;0;2021-03-10 11:01:00.789;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;1615374069242;2021-03-10 11:01:09.278;False;False;7;8.489
10;0;2021-03-10 11:01:00.788;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;1615374069424;2021-03-10 11:01:09.469;False;False;7;8.681
12;0;2021-03-10 11:01:10.059;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:01:21.940;False;False;12;11.881
13;0;2021-03-10 11:01:10.060;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:01:22.640;False;False;12;12.58
15;0;2021-03-10 11:01:22.693;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:01:40.931;False;False;13;18.238
14;0;2021-03-10 11:01:22.692;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:01:41.139;False;False;13;18.447
17;0;2021-03-10 11:01:41.171;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;1615374107553;2021-03-10 11:01:47.672;False;False;14;6.501
16;0;2021-03-10 11:01:41.170;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;1615374107999;2021-03-10 11:01:48.018;False;False;14;6.848
19;0;2021-03-10 11:01:48.820;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:01:58.148;False;False;21;9.328
18;0;2021-03-10 11:01:48.819;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:01:58.402;False;False;21;9.583
21;0;2021-03-10 11:01:58.439;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:04.723;False;False;22;6.284
20;0;2021-03-10 11:01:58.438;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:05.197;False;False;22;6.759
23;0;2021-03-10 11:02:05.221;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:06.028;False;False;23;0.807
22;0;2021-03-10 11:02:05.221;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:06.061;False;False;23;0.84
25;0;2021-03-10 11:02:06.317;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:07.587;False;False;32;1.27
24;0;2021-03-10 11:02:06.316;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:07.713;False;False;32;1.397
27;0;2021-03-10 11:02:07.737;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:09.339;False;False;33;1.602
26;0;2021-03-10 11:02:07.737;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:09.427;False;False;33;1.69
29;0;2021-03-10 11:02:09.458;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:09.808;False;False;34;0.35
28;0;2021-03-10 11:02:09.458;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:09.869;False;False;34;0.411
31;0;2021-03-10 11:02:10.075;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:10.876;False;False;45;0.801
30;0;2021-03-10 11:02:10.074;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:10.992;False;False;45;0.918
33;0;2021-03-10 11:02:11.014;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:12.728;False;False;46;1.714
32;0;2021-03-10 11:02:11.014;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:12.772;False;False;46;1.758
