RDD ID;Name;Callsite;Parent IDs;Storage Level;Barrier;Number of Partitions;Number of Cached Partitions;Memory Size;Disk Size;Scope;Stage ID
168;dbfs:/FileStore/graph_20M.txt;textFile at NativeMethodAccessorImpl.java:0;[];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""282"",""name"":""textFile""}";144
169;dbfs:/FileStore/graph_20M.txt;textFile at NativeMethodAccessorImpl.java:0;[168];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""282"",""name"":""textFile""}";144
170;PythonRDD;groupByKey at <command-193306450925007>:29;[169];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;144
171;PairwiseRDD;groupByKey at <command-193306450925007>:29;[170];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;144
179;dbfs:/FileStore/graph_20M.txt;textFile at NativeMethodAccessorImpl.java:0;[];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""290"",""name"":""textFile""}";147
180;dbfs:/FileStore/graph_20M.txt;textFile at NativeMethodAccessorImpl.java:0;[179];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""290"",""name"":""textFile""}";147
181;PythonRDD;groupByKey at <command-193306450925007>:29;[180];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;147
182;PairwiseRDD;groupByKey at <command-193306450925007>:29;[181];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;147
183;ShuffledRDD;partitionBy at <unknown>:0;[182];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""293"",""name"":""partitionBy""}";148
184;MapPartitionsRDD;mapPartitions at PythonRDD.scala:183;[183];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""294"",""name"":""mapPartitions""}";148
185;PythonRDD;groupByKey at <command-193306450925007>:34;[184];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;148
186;PairwiseRDD;groupByKey at <command-193306450925007>:34;[185];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;;148
187;ShuffledRDD;partitionBy at <unknown>:0;[186];{'Use Disk': False, 'Use Memory': False, 'Deserialized': False, 'Replication': 1};False;2;0;0;0;"{""id"":""295"",""name"":""partitionBy""}";149
