filename,algo_type,loop_counter,command,end_of_command,accum,length
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,0,start,2021-03-26T00:20:30.608+0000,0,0
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,1,ded_reduce,2021-03-26T00:21:02.781+0000,1355603,1505541
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,2,ded_reduce,2021-03-26T00:21:56.416+0000,2683303,2749376
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,3,ded_reduce,2021-03-26T00:23:00.907+0000,5305417,2763269
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,4,ded_reduce,2021-03-26T00:24:44.790+0000,5251057,231707
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,5,ded_reduce,2021-03-26T00:24:52.877+0000,129530,166942
dbfs:/FileStore/graph_10M.txt,scala-rdd-sorted,6,ded_reduce,2021-03-26T00:24:57.438+0000,0,166942
dbfs:/FileStore/graph_10M.txt,scala-df,0,start,2021-03-26T00:24:59.177+0000,0,0
dbfs:/FileStore/graph_10M.txt,scala-df,1,ded_reduce,2021-03-26T00:25:32.043+0000,1355603,1505541
dbfs:/FileStore/graph_10M.txt,scala-df,2,ded_reduce,2021-03-26T00:26:21.776+0000,2683303,2749376
dbfs:/FileStore/graph_10M.txt,scala-df,3,ded_reduce,2021-03-26T00:27:36.441+0000,5305417,2763269
dbfs:/FileStore/graph_10M.txt,scala-df,4,ded_reduce,2021-03-26T00:30:04.106+0000,5251057,231707
dbfs:/FileStore/graph_10M.txt,scala-df,5,ded_reduce,2021-03-26T00:30:14.697+0000,129530,166942
dbfs:/FileStore/graph_10M.txt,scala-df,6,ded_reduce,2021-03-26T00:30:22.330+0000,0,166942
