filename,nb_cores,loop_counter,command,end_of_command,accum,length
graph_30M_5.txt,1,0,start,2021-03-29 21:50:11.475241,0,0
graph_30M_5.txt,1,1,ded_reduce,2021-03-29 21:50:45.538241,3813673,4233161
graph_30M_5.txt,1,2,ded_reduce,2021-03-29 21:53:09.274347,7545282,7760631
graph_30M_5.txt,1,3,ded_reduce,2021-03-29 21:56:37.783331,14974496,9960879
graph_30M_5.txt,1,4,ded_reduce,2021-03-29 21:58:23.310403,19324891,841589
graph_30M_5.txt,1,5,ded_reduce,2021-03-29 21:58:36.608745,750098,466540
graph_30M_5.txt,1,6,ded_reduce,2021-03-29 21:58:47.392079,0,466540
graph_30M_5.txt,2,0,start,2021-03-29 21:58:48.460564,0,0
graph_30M_5.txt,2,1,ded_reduce,2021-03-29 21:59:26.089595,3813673,4233161
graph_30M_5.txt,2,2,ded_reduce,2021-03-29 22:01:56.323902,7545282,7760631
graph_30M_5.txt,2,3,ded_reduce,2021-03-29 22:05:29.216054,14974496,9960879
graph_30M_5.txt,2,4,ded_reduce,2021-03-29 22:07:07.864855,19324891,841589
graph_30M_5.txt,2,5,ded_reduce,2021-03-29 22:07:19.654321,750098,466540
graph_30M_5.txt,2,6,ded_reduce,2021-03-29 22:07:29.200418,0,466540
