filename,algo_type,loop_counter,command,end_of_command,accum
dbfs:/FileStore/graph_5M.txt,zip,0,start,1970-01-01T00:00:00.052+0000,0
dbfs:/FileStore/graph_5M.txt,min,1,it_map,1970-01-01T00:00:00.002+0000,0
dbfs:/FileStore/graph_5M.txt,min,1,it_groupby,1970-01-01T00:00:00.008+0000,0
dbfs:/FileStore/graph_5M.txt,min,1,it_reduce,1970-01-01T00:00:00.013+0000,730604
dbfs:/FileStore/graph_5M.txt,min,1,ded_map,1970-01-01T00:00:00.021+0000,1461208
dbfs:/FileStore/graph_5M.txt,min,1,ded_groupby,1970-01-01T00:00:00.040+0000,2191812
dbfs:/FileStore/graph_5M.txt,min,1,ded_reduce,1970-01-01T00:00:00.048+0000,2191812
dbfs:/FileStore/graph_5M.txt,min,2,it_map,1970-01-01T00:00:00.006+0000,0
dbfs:/FileStore/graph_5M.txt,min,2,it_groupby,1970-01-01T00:00:00.015+0000,0
dbfs:/FileStore/graph_5M.txt,min,2,it_reduce,1970-01-01T00:00:00.023+0000,1447403
dbfs:/FileStore/graph_5M.txt,min,2,ded_map,1970-01-01T00:00:00.037+0000,2894806
dbfs:/FileStore/graph_5M.txt,min,2,ded_groupby,1970-01-01T00:00:00.008+0000,4342209
dbfs:/FileStore/graph_5M.txt,min,2,ded_reduce,1970-01-01T00:00:00.023+0000,4342209
dbfs:/FileStore/graph_5M.txt,min,3,it_map,1970-01-01T00:00:00.053+0000,0
dbfs:/FileStore/graph_5M.txt,min,3,it_groupby,1970-01-01T00:00:00.009+0000,0
dbfs:/FileStore/graph_5M.txt,min,3,it_reduce,1970-01-01T00:00:00.024+0000,2838460
dbfs:/FileStore/graph_5M.txt,min,3,ded_map,1970-01-01T00:00:00.053+0000,5676920
dbfs:/FileStore/graph_5M.txt,min,3,ded_groupby,1970-01-01T00:00:00.028+0000,8515380
dbfs:/FileStore/graph_5M.txt,min,3,ded_reduce,1970-01-01T00:00:00.048+0000,8515380
dbfs:/FileStore/graph_5M.txt,min,4,it_map,1970-01-01T00:00:00.020+0000,0
dbfs:/FileStore/graph_5M.txt,min,4,it_groupby,1970-01-01T00:00:00.042+0000,0
dbfs:/FileStore/graph_5M.txt,min,4,it_reduce,1970-01-01T00:00:00.016+0000,2257661
dbfs:/FileStore/graph_5M.txt,min,4,ded_map,1970-01-01T00:00:00.001+0000,4515322
dbfs:/FileStore/graph_5M.txt,min,4,ded_groupby,1970-01-01T00:00:00.040+0000,6772983
dbfs:/FileStore/graph_5M.txt,min,4,ded_reduce,1970-01-01T00:00:00.052+0000,6772983
dbfs:/FileStore/graph_5M.txt,min,5,it_map,1970-01-01T00:00:00.007+0000,0
dbfs:/FileStore/graph_5M.txt,min,5,it_groupby,1970-01-01T00:00:00.021+0000,0
dbfs:/FileStore/graph_5M.txt,min,5,it_reduce,1970-01-01T00:00:00.023+0000,60710
dbfs:/FileStore/graph_5M.txt,min,5,ded_map,1970-01-01T00:00:00.025+0000,121420
dbfs:/FileStore/graph_5M.txt,min,5,ded_groupby,1970-01-01T00:00:00.028+0000,182130
dbfs:/FileStore/graph_5M.txt,min,5,ded_reduce,1970-01-01T00:00:00.030+0000,182130
dbfs:/FileStore/graph_5M.txt,min,6,it_map,1970-01-01T00:00:00.032+0000,0
dbfs:/FileStore/graph_5M.txt,min,6,it_groupby,1970-01-01T00:00:00.034+0000,0
dbfs:/FileStore/graph_5M.txt,min,6,it_reduce,1970-01-01T00:00:00.035+0000,0
dbfs:/FileStore/graph_5M.txt,min,6,ded_map,1970-01-01T00:00:00.036+0000,0
dbfs:/FileStore/graph_5M.txt,min,6,ded_groupby,1970-01-01T00:00:00.039+0000,0
dbfs:/FileStore/graph_5M.txt,min,6,ded_reduce,1970-01-01T00:00:00.040+0000,0
