filename,algo_type,loop_counter,command,end_of_command,accum
dbfs:/FileStore/graph_10M.txt,distinct,0,start,2021-03-24 09:47:14.136859,0
dbfs:/FileStore/graph_10M.txt,distinct,1,ded_reduce,2021-03-24 09:47:37.982753,1355603
dbfs:/FileStore/graph_10M.txt,distinct,2,ded_reduce,2021-03-24 09:48:13.781359,2683303
dbfs:/FileStore/graph_10M.txt,distinct,3,ded_reduce,2021-03-24 09:49:01.999983,5305417
dbfs:/FileStore/graph_10M.txt,distinct,4,ded_reduce,2021-03-24 09:49:27.943456,5251057
dbfs:/FileStore/graph_10M.txt,distinct,5,ded_reduce,2021-03-24 09:49:34.215957,129530
dbfs:/FileStore/graph_10M.txt,distinct,6,ded_reduce,2021-03-24 09:49:39.039870,0
dbfs:/FileStore/graph_10M.txt,min,0,start,2021-03-24 09:49:39.076965,0
dbfs:/FileStore/graph_10M.txt,min,1,ded_reduce,2021-03-24 09:50:10.707019,1355603
dbfs:/FileStore/graph_10M.txt,min,2,ded_reduce,2021-03-24 09:51:04.376506,2683303
dbfs:/FileStore/graph_10M.txt,min,3,ded_reduce,2021-03-24 09:53:17.762737,5305417
dbfs:/FileStore/graph_10M.txt,min,4,ded_reduce,2021-03-24 09:54:02.666457,5251057
dbfs:/FileStore/graph_10M.txt,min,5,ded_reduce,2021-03-24 09:54:12.238784,129530
dbfs:/FileStore/graph_10M.txt,min,6,ded_reduce,2021-03-24 09:54:19.066542,0
