filename,algo_type,loop_counter,command,end_of_command,accum
dbfs:/FileStore/graph_10M_3.txt,distinct,0,start,2021-03-24 12:38:01.361849,0
dbfs:/FileStore/graph_10M_3.txt,distinct,1,ded_reduce,2021-03-24 12:38:28.830337,1149377
dbfs:/FileStore/graph_10M_3.txt,distinct,2,ded_reduce,2021-03-24 12:39:08.627628,2226366
dbfs:/FileStore/graph_10M_3.txt,distinct,3,ded_reduce,2021-03-24 12:40:12.767415,4371572
dbfs:/FileStore/graph_10M_3.txt,distinct,4,ded_reduce,2021-03-24 12:41:06.495000,7914232
dbfs:/FileStore/graph_10M_3.txt,distinct,5,ded_reduce,2021-03-24 12:41:26.828622,1946629
dbfs:/FileStore/graph_10M_3.txt,distinct,6,ded_reduce,2021-03-24 12:41:36.329743,6984
dbfs:/FileStore/graph_10M_3.txt,distinct,7,ded_reduce,2021-03-24 12:41:45.108892,0
dbfs:/FileStore/graph_10M_3.txt,distinct,0,start,2021-03-24 12:41:45.163587,0
dbfs:/FileStore/graph_10M_3.txt,min,1,ded_reduce,2021-03-24 12:42:24.863369,1149377
dbfs:/FileStore/graph_10M_3.txt,min,2,ded_reduce,2021-03-24 12:43:24.116175,2226366
dbfs:/FileStore/graph_10M_3.txt,min,3,ded_reduce,2021-03-24 12:47:02.975898,4371572
dbfs:/FileStore/graph_10M_3.txt,min,4,ded_reduce,2021-03-24 12:49:39.830425,7914232
dbfs:/FileStore/graph_10M_3.txt,min,5,ded_reduce,2021-03-24 12:50:07.769416,1946629
dbfs:/FileStore/graph_10M_3.txt,min,6,ded_reduce,2021-03-24 12:50:19.707868,6984
dbfs:/FileStore/graph_10M_3.txt,min,7,ded_reduce,2021-03-24 12:50:30.039072,0
dbfs:/FileStore/graph_10M_7.txt,distinct,0,start,2021-03-24 12:50:32.455578,0
dbfs:/FileStore/graph_10M_7.txt,distinct,1,ded_reduce,2021-03-24 12:50:58.783563,1493206
dbfs:/FileStore/graph_10M_7.txt,distinct,2,ded_reduce,2021-03-24 12:51:38.838294,2970679
dbfs:/FileStore/graph_10M_7.txt,distinct,3,ded_reduce,2021-03-24 12:52:18.797013,5746202
dbfs:/FileStore/graph_10M_7.txt,distinct,4,ded_reduce,2021-03-24 12:52:33.477886,2293676
dbfs:/FileStore/graph_10M_7.txt,distinct,5,ded_reduce,2021-03-24 12:52:37.533854,4538
dbfs:/FileStore/graph_10M_7.txt,distinct,6,ded_reduce,2021-03-24 12:52:41.424901,0
dbfs:/FileStore/graph_10M_7.txt,distinct,0,start,2021-03-24 12:52:41.467995,0
dbfs:/FileStore/graph_10M_7.txt,min,1,ded_reduce,2021-03-24 12:53:15.705950,1493206
dbfs:/FileStore/graph_10M_7.txt,min,2,ded_reduce,2021-03-24 12:54:19.917962,2970679
dbfs:/FileStore/graph_10M_7.txt,min,3,ded_reduce,2021-03-24 12:55:28.837157,5746202
dbfs:/FileStore/graph_10M_7.txt,min,4,ded_reduce,2021-03-24 12:55:51.974731,2293676
dbfs:/FileStore/graph_10M_7.txt,min,5,ded_reduce,2021-03-24 12:55:57.577275,4538
dbfs:/FileStore/graph_10M_7.txt,min,6,ded_reduce,2021-03-24 12:56:02.484870,0
dbfs:/FileStore/graph_10M_11.txt,distinct,0,start,2021-03-24 12:56:05.129764,0
dbfs:/FileStore/graph_10M_11.txt,distinct,1,ded_reduce,2021-03-24 12:56:32.129095,1632643
dbfs:/FileStore/graph_10M_11.txt,distinct,2,ded_reduce,2021-03-24 12:57:13.560904,3251069
dbfs:/FileStore/graph_10M_11.txt,distinct,3,ded_reduce,2021-03-24 12:57:40.456821,5402843
dbfs:/FileStore/graph_10M_11.txt,distinct,4,ded_reduce,2021-03-24 12:57:45.263538,297972
dbfs:/FileStore/graph_10M_11.txt,distinct,5,ded_reduce,2021-03-24 12:57:48.244719,0
dbfs:/FileStore/graph_10M_11.txt,distinct,0,start,2021-03-24 12:57:48.274681,0
dbfs:/FileStore/graph_10M_11.txt,min,1,ded_reduce,2021-03-24 12:58:24.018457,1632643
dbfs:/FileStore/graph_10M_11.txt,min,2,ded_reduce,2021-03-24 12:59:26.989206,3251069
dbfs:/FileStore/graph_10M_11.txt,min,3,ded_reduce,2021-03-24 13:00:10.235793,5402843
dbfs:/FileStore/graph_10M_11.txt,min,4,ded_reduce,2021-03-24 13:00:18.381155,297972
dbfs:/FileStore/graph_10M_11.txt,min,5,ded_reduce,2021-03-24 13:00:21.997192,0
