filename,algo_type,loop_counter,command,end_of_command,accum,len_list
dbfs:/FileStore/graph_4M_3.txt,min,0,start,2021-03-24 18:26:08.094499,0,0
dbfs:/FileStore/graph_4M_3.txt,min,1,it_map,2021-03-24 18:26:15.126310,0,694760
dbfs:/FileStore/graph_4M_3.txt,min,1,it_groupby,2021-03-24 18:26:21.781501,0,115146
dbfs:/FileStore/graph_4M_3.txt,min,1,it_reduce,2021-03-24 18:26:24.628048,502697,599047
dbfs:/FileStore/graph_4M_3.txt,min,1,ded_map,2021-03-24 18:26:27.889579,1005394,599047
dbfs:/FileStore/graph_4M_3.txt,min,1,ded_groupby,2021-03-24 18:26:42.733223,1508091,598973
dbfs:/FileStore/graph_4M_3.txt,min,1,ded_reduce,2021-03-24 18:26:46.245185,1508091,598973
dbfs:/FileStore/graph_4M_3.txt,min,2,it_map,2021-03-24 18:26:51.113210,0,1197946
dbfs:/FileStore/graph_4M_3.txt,min,2,it_groupby,2021-03-24 18:26:58.676447,0,115146
dbfs:/FileStore/graph_4M_3.txt,min,2,it_reduce,2021-03-24 18:27:01.851868,972864,1084586
dbfs:/FileStore/graph_4M_3.txt,min,2,ded_map,2021-03-24 18:27:06.878634,1945728,1084586
dbfs:/FileStore/graph_4M_3.txt,min,2,ded_groupby,2021-03-24 18:27:31.486798,2918592,1028799
dbfs:/FileStore/graph_4M_3.txt,min,2,ded_reduce,2021-03-24 18:27:38.516796,2918592,1028799
dbfs:/FileStore/graph_4M_3.txt,min,3,it_map,2021-03-24 18:27:46.215201,0,2057598
dbfs:/FileStore/graph_4M_3.txt,min,3,it_groupby,2021-03-24 18:27:57.346547,0,115146
dbfs:/FileStore/graph_4M_3.txt,min,3,it_reduce,2021-03-24 18:28:00.982439,1915104,2030156
dbfs:/FileStore/graph_4M_3.txt,min,3,ded_map,2021-03-24 18:28:07.160017,3830208,2030156
dbfs:/FileStore/graph_4M_3.txt,min,3,ded_groupby,2021-03-24 18:28:43.245732,5745312,1659730
dbfs:/FileStore/graph_4M_3.txt,min,3,ded_reduce,2021-03-24 18:28:53.417892,5745312,1659730
dbfs:/FileStore/graph_4M_3.txt,min,4,it_map,2021-03-24 18:29:10.643435,0,3319460
dbfs:/FileStore/graph_4M_3.txt,min,4,it_groupby,2021-03-24 18:29:26.632437,0,115146
dbfs:/FileStore/graph_4M_3.txt,min,4,it_reduce,2021-03-24 18:29:31.229527,3196781,3311925
dbfs:/FileStore/graph_4M_3.txt,min,4,ded_map,2021-03-24 18:29:39.345784,6393562,3311925
dbfs:/FileStore/graph_4M_3.txt,min,4,ded_groupby,2021-03-24 18:29:57.499017,9590343,364771
dbfs:/FileStore/graph_4M_3.txt,min,4,ded_reduce,2021-03-24 18:30:00.457850,9590343,364771
dbfs:/FileStore/graph_4M_3.txt,min,5,it_map,2021-03-24 18:30:04.912330,0,729542
dbfs:/FileStore/graph_4M_3.txt,min,5,it_groupby,2021-03-24 18:30:10.798868,0,115146
dbfs:/FileStore/graph_4M_3.txt,min,5,it_reduce,2021-03-24 18:30:13.151420,500278,615422
dbfs:/FileStore/graph_4M_3.txt,min,5,ded_map,2021-03-24 18:30:15.930381,1000556,615422
dbfs:/FileStore/graph_4M_3.txt,min,5,ded_groupby,2021-03-24 18:30:22.072849,1500834,116285
dbfs:/FileStore/graph_4M_3.txt,min,5,ded_reduce,2021-03-24 18:30:22.991364,1500834,116285
dbfs:/FileStore/graph_4M_3.txt,min,6,it_map,2021-03-24 18:30:24.160443,0,232570
dbfs:/FileStore/graph_4M_3.txt,min,6,it_groupby,2021-03-24 18:30:26.749186,0,115146
dbfs:/FileStore/graph_4M_3.txt,min,6,it_reduce,2021-03-24 18:30:28.498783,2282,117426
dbfs:/FileStore/graph_4M_3.txt,min,6,ded_map,2021-03-24 18:30:30.418881,4564,117426
dbfs:/FileStore/graph_4M_3.txt,min,6,ded_groupby,2021-03-24 18:30:34.021719,6846,115144
dbfs:/FileStore/graph_4M_3.txt,min,6,ded_reduce,2021-03-24 18:30:34.833171,6846,115144
dbfs:/FileStore/graph_4M_3.txt,min,7,it_map,2021-03-24 18:30:35.853052,0,230288
dbfs:/FileStore/graph_4M_3.txt,min,7,it_groupby,2021-03-24 18:30:37.985002,0,115146
dbfs:/FileStore/graph_4M_3.txt,min,7,it_reduce,2021-03-24 18:30:39.739285,0,115144
dbfs:/FileStore/graph_4M_3.txt,min,7,ded_map,2021-03-24 18:30:41.497263,0,115144
dbfs:/FileStore/graph_4M_3.txt,min,7,ded_groupby,2021-03-24 18:30:45.201015,0,115144
dbfs:/FileStore/graph_4M_3.txt,min,7,ded_reduce,2021-03-24 18:30:45.987290,0,115144
dbfs:/FileStore/graph_10M_7.txt,min,0,start,2021-03-24 18:30:49.170861,0,0
dbfs:/FileStore/graph_10M_7.txt,min,1,it_map,2021-03-24 18:30:55.176147,0,1720642
dbfs:/FileStore/graph_10M_7.txt,min,1,it_groupby,2021-03-24 18:31:04.842310,0,122600
dbfs:/FileStore/graph_10M_7.txt,min,1,it_reduce,2021-03-24 18:31:09.549639,1493206,1607078
dbfs:/FileStore/graph_10M_7.txt,min,1,ded_map,2021-03-24 18:31:15.157620,2986412,1607078
dbfs:/FileStore/graph_10M_7.txt,min,1,ded_groupby,2021-03-24 18:31:49.085453,4479618,1606238
dbfs:/FileStore/graph_10M_7.txt,min,1,ded_reduce,2021-03-24 18:31:57.922404,4479618,1606238
dbfs:/FileStore/graph_10M_7.txt,min,2,it_map,2021-03-24 18:32:08.580025,0,3212476
dbfs:/FileStore/graph_10M_7.txt,min,2,it_groupby,2021-03-24 18:32:23.926554,0,122600
dbfs:/FileStore/graph_10M_7.txt,min,2,it_reduce,2021-03-24 18:32:28.907123,2970679,3092663
dbfs:/FileStore/graph_10M_7.txt,min,2,ded_map,2021-03-24 18:32:37.129068,5941358,3092663
dbfs:/FileStore/graph_10M_7.txt,min,2,ded_groupby,2021-03-24 18:33:36.418285,8912037,2945187
dbfs:/FileStore/graph_10M_7.txt,min,2,ded_reduce,2021-03-24 18:33:53.230622,8912037,2945187
dbfs:/FileStore/graph_10M_7.txt,min,3,it_map,2021-03-24 18:34:13.427718,0,5890374
dbfs:/FileStore/graph_10M_7.txt,min,3,it_groupby,2021-03-24 18:34:46.103249,0,122600
dbfs:/FileStore/graph_10M_7.txt,min,3,it_reduce,2021-03-24 18:34:53.496572,5746202,5868798
dbfs:/FileStore/graph_10M_7.txt,min,3,ded_map,2021-03-24 18:35:08.636925,11492404,5868798
dbfs:/FileStore/graph_10M_7.txt,min,3,ded_groupby,2021-03-24 18:35:53.488614,17238606,1268458
dbfs:/FileStore/graph_10M_7.txt,min,3,ded_reduce,2021-03-24 18:36:01.872634,17238606,1268458
dbfs:/FileStore/graph_10M_7.txt,min,4,it_map,2021-03-24 18:36:11.817850,0,2536916
dbfs:/FileStore/graph_10M_7.txt,min,4,it_groupby,2021-03-24 18:36:25.983490,0,122600
dbfs:/FileStore/graph_10M_7.txt,min,4,it_reduce,2021-03-24 18:36:30.171434,2293676,2416275
dbfs:/FileStore/graph_10M_7.txt,min,4,ded_map,2021-03-24 18:36:37.417301,4587352,2416275
dbfs:/FileStore/graph_10M_7.txt,min,4,ded_groupby,2021-03-24 18:36:48.242150,6881028,124868
dbfs:/FileStore/graph_10M_7.txt,min,4,ded_reduce,2021-03-24 18:36:49.535844,6881028,124868
dbfs:/FileStore/graph_10M_7.txt,min,5,it_map,2021-03-24 18:36:50.970634,0,249736
dbfs:/FileStore/graph_10M_7.txt,min,5,it_groupby,2021-03-24 18:36:54.156502,0,122600
dbfs:/FileStore/graph_10M_7.txt,min,5,it_reduce,2021-03-24 18:36:56.111678,4538,127137
dbfs:/FileStore/graph_10M_7.txt,min,5,ded_map,2021-03-24 18:36:58.120706,9076,127137
dbfs:/FileStore/graph_10M_7.txt,min,5,ded_groupby,2021-03-24 18:37:02.040749,13614,122599
dbfs:/FileStore/graph_10M_7.txt,min,5,ded_reduce,2021-03-24 18:37:02.778237,13614,122599
dbfs:/FileStore/graph_10M_7.txt,min,6,it_map,2021-03-24 18:37:03.788493,0,245198
dbfs:/FileStore/graph_10M_7.txt,min,6,it_groupby,2021-03-24 18:37:05.988772,0,122600
dbfs:/FileStore/graph_10M_7.txt,min,6,it_reduce,2021-03-24 18:37:08.941554,0,122599
dbfs:/FileStore/graph_10M_7.txt,min,6,ded_map,2021-03-24 18:37:11.119307,0,122599
dbfs:/FileStore/graph_10M_7.txt,min,6,ded_groupby,2021-03-24 18:37:15.068967,0,122599
dbfs:/FileStore/graph_10M_7.txt,min,6,ded_reduce,2021-03-24 18:37:15.804954,0,122599
dbfs:/FileStore/graph_15M_11.txt,min,0,start,2021-03-24 18:37:20.367951,0,0
dbfs:/FileStore/graph_15M_11.txt,min,1,it_map,2021-03-24 18:37:29.184554,0,2597090
dbfs:/FileStore/graph_15M_11.txt,min,1,it_groupby,2021-03-24 18:37:43.177987,0,117710
dbfs:/FileStore/graph_15M_11.txt,min,1,it_reduce,2021-03-24 18:37:48.146489,2373274,2485693
dbfs:/FileStore/graph_15M_11.txt,min,1,ded_map,2021-03-24 18:37:56.008616,4746548,2485693
dbfs:/FileStore/graph_15M_11.txt,min,1,ded_groupby,2021-03-24 18:38:48.382226,7119822,2482782
dbfs:/FileStore/graph_15M_11.txt,min,1,ded_reduce,2021-03-24 18:39:03.126416,7119822,2482782
dbfs:/FileStore/graph_15M_11.txt,min,2,it_map,2021-03-24 18:39:21.074898,0,4965564
dbfs:/FileStore/graph_15M_11.txt,min,2,it_groupby,2021-03-24 18:39:45.048251,0,117710
dbfs:/FileStore/graph_15M_11.txt,min,2,it_reduce,2021-03-24 18:39:51.763145,4722480,4839930
dbfs:/FileStore/graph_15M_11.txt,min,2,ded_map,2021-03-24 18:40:05.160941,9444960,4839930
dbfs:/FileStore/graph_15M_11.txt,min,2,ded_groupby,2021-03-24 18:44:09.306653,14167440,4182242
dbfs:/FileStore/graph_15M_11.txt,min,2,ded_reduce,2021-03-24 18:45:54.803022,14167440,4182242
dbfs:/FileStore/graph_15M_11.txt,min,3,it_map,2021-03-24 18:47:44.872151,0,8364484
dbfs:/FileStore/graph_15M_11.txt,min,3,it_groupby,2021-03-24 18:49:50.817631,0,117710
dbfs:/FileStore/graph_15M_11.txt,min,3,it_reduce,2021-03-24 18:50:00.663055,8235707,8353416
dbfs:/FileStore/graph_15M_11.txt,min,3,ded_map,2021-03-24 18:50:21.002539,16471414,8353416
dbfs:/FileStore/graph_15M_11.txt,min,3,ded_groupby,2021-03-24 18:50:55.842652,24707121,486235
